Title,Date,Rating,Genres,Budget,WorldwideGross,Description,Keywords,Runtime,Revenue-Budget-Ratio
Jumanji: The Next Level,2019,PG-13,Action Adventure Comedy Fantasy ,125000000,800059707,"The gang is back but the game has changed. As they return to Jumanji to rescue one of their own, they discover that nothing is as they expect. The players will have to brave parts unknown and unexplored, from the arid deserts to the snowy mountains, in order to escape the world's most dangerous game.",jungle mission rescue teamwork superhuman strength 169 more ,123,6.400477656
Pet Sematary,2019,R,Horror Mystery Thriller ,21000000,113118226,"Louis Creed, his wife Rachel, and their two children, Gage and Ellie, move to a rural home where they are welcomed and enlightened about the eerie 'Pet Sematary' located nearby. After the tragedy of their cat being killed by a truck, Louis resorts to burying it in the mysterious pet cemetery, which is definitely not as it seems, as it proves to the Creeds that sometimes, dead is better.",horror movie remake cat remake based on book indian burial ground 105 more ,74,5.38658219
Motherless Brooklyn,2019,R,Crime Drama Mystery ,26000000,18477736,"Set against the backdrop of 1950s New York, ""Motherless Brooklyn"" follows Lionel Essrog (Norton), a lonely private detective afflicted with Tourette's Syndrome, as he ventures to solve his friend's murder. Armed only with a few clues and the powerful engine of his obsessive mind, Lionel unravels closely-guarded secrets that hold the fate of the whole city in the balance.",neo noir 1950s jazz music based on novel detective 204 more ,162,0.710682154
The Goldfinch,2019,R,Drama ,45000000,9932621,"13-year-old New Yorker Theo Decker's life is turned upside-down when his mother is killed in a terrorist attack at the Metropolitan Museum of Art. Confused in the rubble of the tragedy, he steals a priceless piece of art known as The Goldfinch.",pulitzer prize source head wound eating shootout telephone book 140 more ,212,0.220724911
The Good Liar,2019,R,Crime Drama Mystery Thriller ,10000000,33856058,"Career con artist Roy Courtnay (Sir Ian McKellen) can hardly believe his luck when he meets well-to-do widow Betty McLeish (Dame Helen Mirren) on-line. As Betty opens her home and life to him, Roy is surprised to find himself caring about her, turning what should be a cut-and-dry swindle into the most treacherous tightrope walk of his life.",con artist elderly gigolo past coming back to haunt online dating flashback 98 more ,154,3.3856058
How to Train Your Dragon: The Hidden World,2019,PG,Animation Action Adventure Comedy Drama Family Fantasy Romance ,129000000,525687703,"As Hiccup fulfills his dream of creating a peaceful dragon utopia, Toothless' discovery of an untamed, elusive mate draws the Night Fury away. When danger mounts at home and Hiccup's reign as village chief is tested, both dragon and rider must make impossible decisions to save their kind.",dragon sequel finale dragon hunter flaming sword 118 more ,104,4.075098473
The Personal History of David Copperfield,2019,PG,Comedy Drama ,15600000,14399270,"A fresh and distinctive take on Charles Dickens' semi-autobiographical masterpiece, The Personal History of David Copperfield, set in the 1840s, chronicles the life of its iconic title character as he navigates a chaotic world to find his elusive place within it. From his unhappy childhood to the discovery of his gift as a storyteller and writer, David's journey is by turns hilarious and tragic, but always full of life, color and humanity.",1800s kite child labour poverty period film 16 more ,155,0.923030128
The Art of Racing in the Rain,2019,PG,Comedy Drama Romance Sport ,18000000,33766787,"Dog lovers believe their canine family members understand language, comprehend events, have opinions, exude loyalty. In ""The Art of Racing In The Rain"", wise old dog Enzo Swift shares thoughts about the life experiences which prepared him to protect his family in times of greatest need.",race car driver dog dog's eye view animal narrator car racing 102 more ,154,1.875932611
"Where'd You Go, Bernadette",2019,PG-13,Comedy Drama ,20000000,11025353,"Based on the runaway bestseller, Where'd You Go, Bernadette is an inspiring comedy about Bernadette Fox ""Academy Award winner Cate Blanchett"", a loving mom who becomes compelled to reconnect with her creative passions after years of sacrificing herself for her family. Bernadette's leap of faith takes her on an epic adventure that jump-starts her life and leads to her triumphant rediscovery.",singing in a car reference to eddie vedder based on epistolary novel apostrophe in title punctuation in title 244 more ,154,0.55126765
The Wandering Earth,2019,TV-MA,Action Adventure Sci-Fi Thriller ,48000000,699992512,"The sun is dying out. The earth will soon be engulfed by the inflating sun. To save the human civilization, scientists draw up an escape plan that will bring the whole human race from danger. With the help of thousands of infusion powered engines, the planet earth will leave the solar system and embark on a 2,500 year journey to the orbit of a star 4.5 light years away.",planet earth ai survival jupiter end of the world 38 more ,125,14.58317733
An Officer and a Spy,2019,UNKNOWN,Drama History Thriller ,25300000,18878658,"In 1894, French Captain Alfred Dreyfus, a young promising officer, is degraded for spying for Germany, wrongfully convicted of treason and sentenced to life imprisonment at Devil's Island. Among the witnesses to his humiliation is Georges Picquart, who is promoted to run the military counter-intelligence unit that tracked him down. But when Picquart discovers that secrets are still being handed over to the Germans, he is drawn into a dangerous labyrinth of deceit and corruption that threatens not just his honor but his life.",based on true story dreyfus affair antisemitism 1890s manipulation 94 more ,141,0.746192016
Zeroville,2019,R,Comedy Drama Mystery ,6000000,69396,"On the same August day in 1969 that a crazed hippie ''family'' led by Charles Manson commits five savage murders in the canyons above Los Angeles, a young ex-communicated seminarian, Ike ""Vikar"" Jerome, arrives with images of Elizabeth Taylor and Montgomery Clift - ''the two most beautiful people in the history of the movies'' - tattooed on his head.",sunset boulevard directed by star hollywood california based on novel ,123,0.011566
A Dog's Way Home,2019,PG,Adventure Drama Family ,18000000,80708134,"As a puppy, Bella finds her way into the arms of Lucas, a young man who gives her a good home. When Bella becomes separated from Lucas, she soon finds herself on an epic 400-mile journey to reunite with her beloved owner. Along the way, the lost but spirited dog meets a series of new friends and manages to bring a little bit of comfort and joy to their lives.",pet owner pet dog colorado puppy cat 65 more ,123,4.483785222
La influencia,2019,TV-MA,Horror ,4500000,587782,"Alicia is a nurse who moves from the city to her natal little town of Duesos (municipality of Caravia, east to Principality of Asturias; northwest to Spain), in order to care Victoria, her aging and dying mother, connected to a life support machine to still breathing when she fell in a coma one month ago, after three years struggling with a terminal disease. Moving there with her unemployed husband Mikel and their daughter Nora, Alicia meets again with her younger sister Sara and she meets Ana, Victoria's nurse assistant. At the same time that Alicia tries to reconcile her present with a hard childhood due to the abusive and dominant Victoria, a witch turned crazy after the death of her husband (Alicia and Sara's father) and she blamed them by it, Mikel finds a job in the port town, and Nora meets a strange little girl, Luna, who bad behavior and attitude starts to affect her. Suspecting about her own mother despite the coma, the changes in Nora makes Alicia to think in an evil plot with Nora as objective after Victoria named her universal heiress in the will, and specially after to find Victoria's tools for practice witchcraft. Denied to die and looking for a different kind of immortality, Victoria's plan closes around her granddaughter, while Alicia starts a race against time to save Nora before it be too much late.",coma town witchcraft black magic little daughter 385 more ,153,0.130618222
Ready Player One,2018,PG-13,Action Adventure Sci-Fi ,175000000,582893671,"In the year 2045, the real world is a harsh place. The only time Wade Watts (Tye Sheridan) truly feels alive is when he escapes to the OASIS, an immersive virtual universe where most of humanity spends their days. In the OASIS, you can go anywhere, do anything, be anyone-the only limits are your own imagination. The OASIS was created by the brilliant and eccentric James Halliday (Mark Rylance), who left his immense fortune and total control of the Oasis to the winner of a three-part contest he designed to find a worthy heir. When Wade conquers the first challenge of the reality-bending treasure hunt, he and his friends-aka the High Five-are hurled into a fantastical universe of discovery and danger to save the OASIS.",player based on novel screenplay adapted by author virtual reality dystopia 429 more ,122,3.330820977
Red Sparrow,2018,R,Action Drama Thriller ,69000000,151572634,"A young Russian intelligence officer is assigned to seduce a first-tour CIA agent who handles the CIA's most sensitive penetration of Russian intelligence. The two young officers collide in a charged atmosphere of trade-craft, deception, and inevitably forbidden passion that threatens not just their lives but the lives of others as well.",seduction spy female nudity secret agent sex scene 560 more ,122,2.196704841
The Meg,2018,PG-13,Action Horror Sci-Fi Thriller ,130000000,530259473,"Five years ago, expert sea diver and Naval Captain Jonas Taylor encountered an unknown danger in the unexplored recesses of the Mariana Trench that forced him to abort his mission and abandon half his crew. Though the tragic incident earned him a dismissal from service, what ultimately cost him his career, his marriage and any semblance of honor was his unsupported and incredulous claims of what caused it - an attack on his vessel by a mammoth, 70-foot sea creature, believed to be extinct for more than a million years. But when a submersible lies sunk and disabled at the bottom of the ocean - carrying his ex-wife among the team onboard - he is the one who gets the call. Whether a shot at redemption or a suicide mission, Jonas must confront his fears and risk his own life and the lives of everyone trapped below on a single question: Could the Carcharodon Megalodon - the largest marine predator that ever existed - still be alive - and on the hunt?",love interest prehistoric animal based on novel shark creature feature 432 more ,95,4.078919023
Annihilation,2018,R,Adventure Drama Horror Mystery Sci-Fi Thriller ,40000000,43070915,"A biologist's husband disappears. She puts her name forward for an expedition into an environmental disaster zone, but does not find what she's expecting. The expedition team is made up of the biologist, an anthropologist, a psychologist, a surveyor, and a linguist.",scientist coma expedition biologist lighthouse 506 more ,115,1.076772875
Fantastic Beasts: The Crimes of Grindelwald,2018,PG-13,Adventure Family Fantasy ,200000000,654855901,"In an effort to thwart Grindelwald's plans of raising pure-blood wizards to rule over all non-magical beings, Albus Dumbledore enlists his former student Newt Scamander, who agrees to help, though he's unaware of the dangers that lie ahead. Lines are drawn as love and loyalty are tested, even among the truest friends and family, in an increasingly divided wizarding world.",wizard magical creature paris france sequel witch 490 more ,161,3.274279505
Fifty Shades Freed,2018,R,Drama Romance Thriller ,55000000,371987838,"Believing they have left behind shadowy figures from their past, newlyweds Christian and Ana fully embrace an inextricable connection and shared life of luxury. But just as she steps into her role as Mrs. Grey and he relaxes into an unfamiliar stability, new threats could jeopardize their happy ending before it even begins.",sex scene female nudity wedding ceremony bondage car chase 127 more ,114,6.763415236
The House with a Clock in Its Walls,2018,PG,Comedy Family Fantasy Mystery Sci-Fi ,42000000,131523093,"Lewis Barnavelt, after losing his parents, is sent to Michigan to live with his uncle Jonathan. He discovers his uncle is a warlock, and enters a world of magic and sorcery. But this power is not limited to good people: Lewis learns of Isaac Izard, an evil wizard who constructed a magical clock with black magic, as long as it exists it will keep ticking, counting down to doomsday. He died before he could finish the clock, but he hid the clock in his house, where Uncle Jonathan now lives. Now Lewis and Jonathan must find the clock before it finishes its countdown and ends the world.",basketball magic mouse bowtie knapsack 365 more ,114,3.131502214
"Love, Simon",2018,PG-13,Comedy Drama Romance ,17000000,66316289,"A young coming-of-age tale about a teenage boy, Simon Spier, goes through a different kind of Romeo and Juliet story. Simon has a love connection with a boy, Blue, by email, but the only problem is that Simon has no idea who he's talking to. Simon must discover who that boy is--who Blue is. Along the way, he tries to find himself as well.",gay gay teenager closeted homosexual gay interest coming out 102 more ,65,3.900958176
Mortal Engines,2018,PG-13,Action Adventure Fantasy Sci-Fi Thriller ,100000000,83869818,"A mysterious young woman, Hester Shaw, emerges as the only one who can stop a giant, predator city on wheels devouring everything in its path. Feral, and fiercely driven by the memory of her mother, Hester joins forces with Tom Natsworthy, an outcast from London, along with Anna Fang, a dangerous outlaw with a bounty on her head.",post apocalypse steampunk dystopia capitalism social commentary 401 more ,128,0.83869818
Maze Runner: The Death Cure,2018,PG-13,Action Adventure Sci-Fi Thriller ,62000000,288175335,"In the epic finale to The Maze Runner Saga, Thomas leads his group of escaped Gladers on their final and most dangerous mission yet. To save their friends, they must break into the legendary last city, a WCKD controlled labyrinth that may turn out to be the deadliest maze of all. Anyone who makes it out alive will get the answers to the questions the Gladers have been asking since they first arrived in the maze. Will Thomas and the crew make it out alive? Or will Ava Paige get her way?",human experimentation virus post apocalypse resistance movement friendship 423 more ,152,4.647989274
The Darkest Minds,2018,PG-13,Action Adventure Drama Romance Sci-Fi Thriller ,34000000,41142379,"After a disease killed 98% of children and young people in the United States, the 2% who managed to survive have developed superpowers, but have been locked in internment camps after being declared a threat. 16-year-old, Ruby, manages to escape from her camp and joins a group of teenagers fleeing government forces.",super power mind control supernatural power super powers telekinesis 243 more ,104,1.210069971
Mary Poppins Returns,2018,PG,Adventure Comedy Family Fantasy Musical ,130000000,349546142,"In Depression-era London, a now-grown Jane (Emily Mortimer) and Michael Banks (Ben Whishaw), along with Michael's three children, are visited by the enigmatic Mary Poppins (Emily Blunt) following a personal loss. Through her unique magical skills, and with the aid of her friend Jack (Lin-Manuel Miranda), she helps the family rediscover the joy and wonder missing in their lives.",nanny animated sequence magic second part dolphin 236 more ,121,2.688816477
The Girl in the Spider's Web,2018,R,Action Crime Drama Thriller ,43000000,35164920,"Scarred forever by the hideous and unforgivable sins of her father, the antisocial, technologically brilliant computer hacker, Lisbeth Salander, finds herself ridding Stockholm of sadists who hate women. It's been three silent years since she last saw her old journalist friend, Mikael Blomkvist, after the events of ",lesbian sequel sister sister relationship tied feet female frontal nudity 291 more ,115,0.817788837
Death Wish,2018,R,Action Crime Drama Thriller ,30000000,49562710,"Dr. Paul Kersey (Bruce Willis) is a surgeon who only sees the aftermath of his city's violence as it's rushed into his ER -until his wife (Elisabeth Shue) and college-age daughter (Camila Morrone) are viciously attacked in their suburban home. With the police overloaded with crimes, Paul, burning for revenge, hunts for his family's assailants to deliver justice. As the anonymous slayings of criminals grabs the media's attention, the city wonders if this deadly avenger is a guardian angel...or a grim reaper. Fury and fate collide in the intense action-thriller Death Wish.",remake vigilante vigilantism death of wife home invasion 598 more ,134,1.652090333
The Hate U Give,2018,PG-13,Crime Drama ,23000000,34934009,"Starr Carter is constantly switching between two worlds: the poor, mostly black, neighborhood where she lives and the rich, mostly white, prep school she attends. The uneasy balance between these worlds is shattered when Starr witnesses the fatal shooting of her childhood best friend Khalil at the hands of a police officer. Now, facing pressures from all sides of the community, Starr must find her voice and stand up for what's right.",father daughter relationship loss of friend african american racism teenage girl 142 more ,151,1.518869957
Hunter Killer,2018,R,Action Thriller ,40000000,31676128,"A U.S. submarine, the USS Tampa Bay, vanishes while shadowing a Russian Akula-class submarine in the Arctic. Rear Admiral John Fisk sends a Virginia-class submarine, the USS Arkansas, under the command of newly-promoted and unorthodox Commander Joe Glass to investigate. At the same time, a Navy SEAL team under the command of Lieutenant Bill Beaman is sent in to discreetly observe a Russian naval base. When they arrive at the naval base, they witness defense minister Dmitri Durov conducting a coup d'etat and taking Russian President Zakarin prisoner, and swiftly realize that Durov intends to trigger a war..",shot in the foot submarine punched in the face mountain walkie talkie 297 more ,121,0.7919032
A Wrinkle in Time,2018,PG,Adventure Family Fantasy Sci-Fi ,100000000,132675864,"Following the discovery of a new form of space travel as well as Meg's father's disappearance, she, her brother, and her friend must join three magical beings - Mrs. Whatsit, Mrs. Who, and Mrs. Which - to travel across the universe to rescue him from a terrible evil.",based on novel space time child prodigy scientist teenager 452 more ,154,1.32675864
London Fields,2018,R,Crime Mystery Thriller ,8000000,487420,"An American writer arrives in London where he meets Nicola Six, a beautiful woman who soon becomes his muse. She is playing a dangerous game, dating a small-time (married) gangster and a wealthy businessman in an effort to con them both. A clairvoyant, she has premonitions of her own death, at the hands of one of the three men she is involved with.",see through dress guy fawkes day reference to guy fawkes based on novel neo noir 14 more ,145,0.0609275
Ophelia,2018,PG-13,Drama Romance Thriller ,12000000,338940,"As a rebellious and motherless child, Ophelia is taken into Elsinore Castle by Queen Gertrude as one of her most trusted ladies-in-waiting. Soon enough, Ophelia captures the affections of the young Prince Hamlet. A passionate romance kindles between the 2 in secret as the kingdom is on the brink of war amidst its own political intrigue and betrayal. When Hamlet's father is murdered and the prince's wits begin to unravel into an insatiable quest for vengeance, Ophelia sharply navigates the rules of power in Denmark all while struggling to choose between her true love and her own life.",shakespeare's hamlet gertrude character ophelia character title directed by female denmark 287 more ,124,0.028245
Christopher Robin,2018,PG,Animation Adventure Comedy Drama Family Fantasy Musical ,75000000,197744377,"An adult Christopher Robin, who is now focused on his new life, work, and family, suddenly meets his old friend Winnie the Pooh, who returns to his unforgotten childhood past to help him return to the Hundred Acre Wood and help find Pooh's lost friends.",father daughter relationship live action and animation bear pig live action cgi hybrid 242 more ,104,2.636591693
If Beale Street Could Talk,2018,R,Drama Romance ,12000000,20596567,"African-American teen sweethearts Fonny and Tish are ripped apart when Fonny is wrongly arrested for the rape of a Puerto Rican woman because of the machinations of a racist cop. While seeking justice for Fonny, a pregnant Tish relies on her Harlem community, including her sister, mother Sharon and future mother-in-law.",prison 1970s love based on novel new york city 171 more ,155,1.716380583
Every Day,2018,PG-13,Drama Fantasy Romance ,4900000,10421847,"Based on David Levithan's acclaimed New York Times bestseller, Every Day tells the story of Rhiannon (Angourie Rice), a 16-year old girl who falls in love with a mysterious soul named ""A"" who inhabits a different body every day. Feeling an unmatched connection, Rhiannon and A work each day to find each other, not knowing what or who the next day will bring. The more the two fall in love, the more the realities of loving someone who is a different person every 24 hours takes a toll, leaving Rhiannon and ""A"" to face the hardest decision either has ever had to make.",singing in a car mother daughter relationship father daughter relationship sister sister relationship boyfriend girlfriend conflict 14 more ,133,2.126907551
Sherlock Gnomes,2018,PG,Animation Adventure Comedy Family Fantasy Musical Mystery Romance ,59000000,90497778,"Sherlock Gnomes (Johnny Depp) and his assistant, Dr. Gnome Watson (Chiwetel Ejiofor), storm into London's natural history museum, where their nemesis, a pie mascot named Moriarty (Jamie Demetriou), is holding gnomes hostage, planning to smash them. After a brief battle, Moriarty is defeated by getting seemingly crushed by a dinosaur skeleton. Meanwhile, Gnomeo (James McAvoy) and Juliet (Emily Blunt), as well as the other gnomes, are moving to London. While there, Gnomeo and Juliet are declared the new leaders of the garden. Noticing that Juliet has cast him aside to improve the garden, Gnomeo leaves to find a flower as a centerpiece, but nearly gets caught in a shop, forcing Juliet to rescue him. Gnomeo and Juliet return to the garden, but then find out that all of the other gnomes have gone missing. Sherlock and Watson show up at the scene to investigate, and after Gnomeo and Juliet help them escape from a sewer flood, Sherlock agrees for them to team up.",romeo character juliet character animate statue sequel mankini 74 more ,122,1.533860644
Thugs of Hindostan,2018,Not Rated,Action Adventure ,20000000,39570044,"The menacing John Clive has the Indians clenched in his fist. Leading to a revolution by the righteous Azaad (Amitabh Bachchan) Captain James Powell, Clive's second in command contracts the sly thug Firangi (Aamir Khan) to get them Azaad. As destined he finds himself amid Azaad, his rebels and the beautiful warrior Zafira (Fatima Sana Shaikh). Will he forgo his selfish desire for nation's freedom?",traitor pirate thug ship british empire 16 more ,164,1.9785022
Perdida,2018,TV-MA,Crime Drama Mystery Thriller ,20000000,1157057,"It is based on the novel by Florencia Etcheves ""Cornelia"", in which a teacher from a prestigious school in Buenos Aires makes a study trip with five of her students, but only returns with four because one of them disappears mysteriously. It is Cornelia Villalba, who escapes with her companions to go dancing and gets lost in the middle of the Patagonian forests.",pimp prostitute woman fights a man based on novel ,94,0.05785285
The Bromley Boys,2018,UNKNOWN,Comedy ,1500000,19996,"The Bromley Boys is a funny yet touching coming of age football memoir played out to the sights and sounds of late 60's Britain. Based on the hilarious novel by Dave Roberts, it recounts the author's highs and the lows supporting the worst football team in the country at the time - Bromley FC.",football based on novel ,124,0.013330667
The Smiles of Sad Men,2018,UNKNOWN,Comedy Drama ,765000,959056,3 different stories of men connected by their failure becoming alcoholics. Will they get the help to overcome alcohol or replace it with something else?,alcoholic alcoholism therapy group therapy title same as book 44 more ,83,1.253667974
It,2017,R,Horror ,35000000,701796444,"In the Town of Derry, the local kids are disappearing one by one. In a place known as 'The Barrens', a group of seven kids are united by their horrifying and strange encounters with an evil clown and their determination to kill It.",evil clown balloon based on novel supernatural power school bullying 818 more ,171,20.05132697
Jumanji: Welcome to the Jungle,2017,PG-13,Action Adventure Comedy Fantasy ,90000000,962542945,"In a brand-new Jumanji adventure, four high-school kids discover an old video-game console and are drawn into the game's jungle setting, literally becoming the adult avatars they chose. What they discover is that you don't just play Jumanji--you must survive it. To beat the game and return to the real world, they must go on the most dangerous adventure of their lives, discover what Alan Parrish left 20 years ago, and change the way they think about themselves --or they'll be stuck in the game forever, to be played by others without break.",jungle trapped in a game title based on song song in title high school 461 more ,155,10.69492161
Murder on the Orient Express,2017,PG-13,Crime Drama Mystery ,55000000,352794081,"Hercule Poirot, the best detective in the world, decides to travel on the Orient Express. The train accidentally gets stopped because of a small avalanche. Little did he know that a murder was planned and that a person on this train was capable of committing such crime.",hercule poirot character whodunit private detective murder mystery palestine 598 more ,105,6.414437836
Molly's Game,2017,R,Biography Crime Drama ,30000000,59284015,"Molly Bloom, a beautiful young Olympic-class skier, ran the world's most exclusive high-stakes poker game for a decade before being arrested in the middle of the night by 17 FBI agents wielding automatic weapons. Her players included Hollywood royalty, sports stars, business titans, and finally, unbeknownst to her, the Russian mob. Her only ally was her criminal defense lawyer Charlie Jaffey, who learned that there was much more to Molly than the tabloids led us to believe.",poker lawyer trial court female protagonist 398 more ,122,1.976133833
Wonder,2017,PG,Drama Family ,20000000,306209289,"Based on the New York Times bestseller, WONDER tells the incredibly inspiring and heartwarming story of August Pullman. Born with facial differences that, up until now, have prevented him from going to a mainstream school, Auggie becomes the most unlikely of heroes when he enters the local fifth grade. As his family, his new classmates, and the larger community all struggle to discover their compassion and acceptance, Auggie's extraordinary journey will unite them all and prove you can't blend in when you were born to stand out.",mother son relationship interracial relationship marriage father son relationship deformity 283 more ,95,15.31046445
Fifty Shades Darker,2017,R,Drama Romance ,55000000,381545846,"Christian and Ana decide to rekindle their relationship, except this time there are no more rules or punishments. As they begin to get used to their newfound relationship, Christian's past begins to haunt Ana as Christian struggles with his innermost thoughts.",sex scene sexual harassment bondage billionaire proposal 166 more ,145,6.9371972
The Foreigner,2017,R,Action Thriller ,35000000,145418070,"The story of humble London businessman Quan (Chan), whose long-buried past erupts in a revenge-fueled vendetta when the only person left for him to love - his teenage daughter - is taken from him in a senseless act of politically-motivated terrorism. In his relentless search for the identity of the terrorists, Quan is forced into a cat- and-mouse conflict with a Irish government official (Brosnan), whose own past may hold clues to the identities of the elusive killers.",gun justice terrorism explosion london england 424 more ,95,4.154802
Atomic Blonde,2017,R,Action Thriller ,30000000,100014025,"The crown jewel of Her Majesty's Secret Intelligence Service, Agent Lorraine Broughton (Theron) is equal parts spycraft, sensuality and savagery, willing to deploy any of her skills to stay alive on her impossible mission. Sent alone into Berlin to deliver a priceless dossier out of the destabilized city, she partners with embedded station chief David Percival (James McAvoy) to navigate her way through the deadliest game of spies.",female nudity sex scene bisexual woman based on comic book bisexual 584 more ,115,3.333800833
American Assassin,2017,R,Action Thriller ,33000000,67234188,"Twenty three-year-old Mitch lost his parents to a tragic car accident at the age of fourteen, and his girlfriend to a terrorist attack just as they were engaged. Seeking revenge, he is enlisted by CIA Deputy Director Irene Kennedy as a black ops recruit. Kennedy then assigns Cold War veteran Stan Hurley to train Mitch. Together they will later on investigate a wave of apparently random attacks on military and civilian targets. The discovery of a pattern in the violence leads them to a joint mission with a lethal Turkish agent to stop a mysterious operative intent on starting a world war in the Middle East.",terrorism revenge beach fight training 430 more ,75,2.037399636
The Snowman,2017,R,Crime Drama Thriller ,35000000,43155261,"When an elite crime squad's lead detective investigates the disappearance of a victim on the first snow of winter, he fears an elusive serial killer may be active again. With the help of a brilliant recruit, the cop must connect decades-old cold cases to the brutal new one if he hopes to outwit this unthinkable evil before the next snowfall.",snow police investigation promiscuous wife serial killer missing woman 613 more ,155,1.233007457
