,SearchTerm,Year,Link1,AdaptationOf,Link2,published_x,author_x,series_x,rating_x,charnum_x,awardnum_x
49,The Dark Tower ,2017,/work/20294605,The Dark Tower,/work/5974,2004.0,by Stephen King,1.0,-4.12,19.0,3.0
50,"Walden ; and, Civil Disobedience",,/work/7792054,,,1854.0,by Henry David Thoreau,0.0,-3.89,1.0,2.0
51,Kingsman: The Golden Circle ,2017,/work/20746041,The Circle,/work/14149720,2013.0,by Dave Eggers,0.0,-3.37,9.0,3.0
52,The Mountain Between Us ,2017,/work/20801969,,,,,,,,
53,The Beguiled ,2017,/work/20409758,The Beguiled [1971 film],/work/14878336,1971.0,"by Don Siegel (Director), John B. Sherry (Screenwriter)",0.0,-3.75,1.0,1.0
54,"Everything, Everything ",2017,/work/20073290,"Everything, Everything",/work/15602340,2015.0,by Nicola Yoon,0.0,-3.94,1.0,11.0
55,Before I Fall ,2017,/work/19531587,Before I Fall,/work/8465376,,by Lauren Oliver,0.0,-3.99,11.0,13.0
56,A Dog's Purpose ,2017,/work/19502630,A Dog's Purpose,/work/9751253,2010.0,by W. Bruce Cameron,1.0,-4.19,11.0,1.0
57,Diary of a Wimpy Kid: The Long Haul ,2017,/work/20037511,Diary of a Wimpy Kid: The Long Haul,/work/14925100,2014.0,by Jeff Kinney,1.0,-4.15,1.0,2.0
58,The Shack ,2017,/work/19603282,The Shack,/work/3376637,2008.0,"by William P. Young, William Paul Young (Author)",0.0,-3.43,8.0,4.0
59,Tulip Fever ,2017,/work/20197888,Tulip Fever,/work/123153,1999.0,by Deborah Moggach,0.0,-3.35,5.0,1.0
60,The Bookshop ,2017,/work/21906266,The Bookshop,/work/27147,1977.0,by Penelope Fitzgerald,0.0,-3.51,3.0,1.0
61,Submergence,,/work/11541974,,,,by J. M. Ledgard,0.0,-3.49,1.0,3.0
62,A Bag of Marbles,,/work/557783,,,1973.0,by Joseph Joffo,1.0,-3.57,1.0,3.0
63,Legend Of The Demon Cat ,Blu-ray],/work/25048227,,,,,,,,
64,Miss Peregrine's Home for Peculiar Children ,2016,/work/18587523,Miss Peregrine's Home For Peculiar Children,/work/10951114,,by Ransom Riggs,1.0,-3.7,24.0,9.0
65,The Girl on the Train ,2016,/work/18400760,The Girl on the Train,/work/15083269,2015.0,by Paula Hawkins,0.0,-3.63,14.0,19.0
66,Me Before You ,2016,/work/18335169,Me Before You,/work/11686136,2013.0,by Jojo Moyes,1.0,-4.12,16.0,4.0
67,Fantastic Beasts and Where to Find Them ,2016,/work/19340638,Fantastic Beasts and Where to Find Them,/work/642676,2001.0,"by J. K. Rowling, Newt Scamander",1.0,-3.68,2.0,1.0
68,Live By Night ,2016,/work/19310480,Live by Night,/work/12326900,,by Dennis Lehane,1.0,-3.79,12.0,6.0
69,Inferno ,2016,/work/17865308,Inferno,/work/13407344,2013.0,by Dan Brown,1.0,-3.55,4.0,3.0
70,Silence,,/work/1031302,,,1966.0,by Shūsaku Endō,0.0,-4.02,4.0,9.0
71,Pride And Prejudice And Zombies ,2016,/work/17902220,Pride and Prejudice and Zombies,/work/7653406,2009.0,by Seth Grahame-Smith,1.0,-3.22,10.0,5.0
72,The Jungle Book ,2016,/work/18187610,The Jungle Books,/work/2774556,1894.0,by Rudyard Kipling,1.0,-3.92,18.0,2.0
73,Nerve ,2016,/work/17865313,Nerve,/work/42881,1964.0,by Dick Francis,0.0,-3.89,5.0,1.0
74,Jack Reacher: Never Go Back ,2016,/work/18698908,Never Go Back,/work/13480915,,by Lee Child,1.0,-3.78,11.0,3.0
75,Alice Through the Looking Glass ,2016,/work/18514410,Alice's Adventures in Wonderland / Through the Looking-Glass,/work/777000,1865.0,by Lewis Carroll,1.0,-4.12,32.0,5.0
76,The 5th Wave ,2016,/work/17748008,The 5th Wave,/work/13135918,2013.0,by Rick Yancey,1.0,-3.89,25.0,22.0
77,Allegiant ,2016,/work/18133746,Allegiant,/work/11584289,,by Veronica Roth,1.0,-3.42,2.0,3.0
78,The Light Between Oceans ,2016,/work/18922217,The Light Between Oceans,/work/12179054,2012.0,by M. L. Stedman,0.0,-3.91,12.0,11.0
79,A Hologram For The King ,2016,/work/18228488,A Hologram for the King,/work/12670700,,by Dave Eggers,0.0,-3.37,1.0,8.0
80,Ben-Hur ,2016,/work/18796533,Ben-Hur: A Tale of the Christ,/work/3152,1880.0,by Lew Wallace,0.0,-3.78,10.0,5.0
81,Billy Lynn's Long Halftime Walk ,2016,/work/19041172,Billy Lynn's Long Halftime Walk,/work/12072317,2012.0,by Ben Fountain,0.0,-3.9,1.0,15.0
82,The Young Messiah,,/work/18534727,,,,by Cyrus Nowrasteh,0.0,-4.0,1.0,1.0
83,Fitoor,,/work/26401247,,,,by Aditya Roy Kapoor,0.0,,1.0,1.0
84,Kontributsiya,,,,,,,,,,
85,Fifty Shades of Grey ,2015,/work/16668532,Fifty Shades of Grey,/work/11347028,,by E. L. James,1.0,-2.94,14.0,4.0
86,Goosebumps ,2015,/work/17151492,Attack of the Mutant,/work/544652,,by R. L. Stine,1.0,-3.44,1.0,1.0
87,The Revenant ,2015,/work/17001047,The Revenant,/work/825275,2002.0,by Michael Punke,0.0,-3.77,20.0,1.0
88,The Martian ,2015,/work/16585696,The Martian,/work/13265773,,by Andy Weir,1.0,-4.28,20.0,15.0
89,War Room ,2015,/work/16983424,Room,/work/9837747,2010.0,by Emma Donoghue,0.0,-4.03,11.0,33.0
90,The Hunger Games: Mockingjay: Part 2 ,2015,/work/16809065,Mockingjay,/work/9279041,,by Suzanne Collins,1.0,-3.91,38.0,8.0
91,Victor Frankenstein ,2015,/work/17501366,This Dark Endeavor: The Apprenticeship of Victor Frankenstein,/work/10930691,,by Kenneth Oppel,1.0,-3.83,6.0,12.0
92,The Danish Girl ,2015,/work/17000961,The Danish Girl,/work/73690,2000.0,by David Ebershoff,0.0,-3.69,3.0,6.0
93,Carol ,2015,/work/16974198,The Price of Salt,/work/112217,1952.0,by Patricia Highsmith,0.0,-3.83,9.0,2.0
94,Maze Runner: The Scorch Trials ,2015,/work/16911047,The Scorch Trials,/work/9448063,,by James Dashner,1.0,-3.71,8.0,4.0
95,Brooklyn ,2015,/work/16718871,Brooklyn,/work/7636753,,by Colm Tóibín,0.0,-3.7,29.0,10.0
96,Insurgent ,2015,/work/17070915,Insurgent,/work/11657372,2013.0,by Veronica Roth,1.0,-3.82,12.0,3.0
97,Home ,2015,/work/16502494,Home,/work/5056952,2008.0,by Marilynne Robinson,1.0,-3.99,9.0,13.0
98,Child 44 ,2015,/work/17138333,Child 44,/work/4104266,2008.0,by Tom Rob Smith,1.0,-3.96,16.0,21.0
99,Beasts of No Nation ,2015,/work/19064944,Beasts of No Nation,/work/23959,2005.0,by Uzodinma Iweala,0.0,-3.62,22.0,10.0
100,Pan ,2015,/work/16944859,Peter Pan,/work/6252,1911.0,by J. M. Barrie,1.0,-3.96,33.0,9.0
101,Wild Card ,2015,/work/18339878,Wild Card,/work/9016933,,by Tiki Barber,0.0,-4.25,1.0,1.0
102,Me and Earl and the Dying Girl ,2015,/work/17603294,Me and Earl and the Dying Girl,/work/12028167,,by Jesse Andrews,0.0,-3.55,18.0,11.0
103,Paper Towns ,2015,/work/16896068,Paper Towns,/work/5105584,,by John Green,0.0,-3.89,21.0,22.0
104,Dark Places ,2015,/work/18593839,Dark Places,/work/6752089,,by Gillian Flynn,0.0,-3.83,12.0,3.0
105,The Diary of a Teenage Girl ,2015,/work/17366444,The Diary of a Teenage Girl: An Account in Words and Pictures,/work/141132,,by Phoebe Gloeckner,0.0,-4.01,1.0,1.0
106,Z for Zachariah ,2015,/work/17271231,Z for Zachariah,/work/112326,1975.0,by Robert C. O'Brien,0.0,-3.73,4.0,6.0
107,The Gunman ,2015,/work/17179628,The Prone Gunman,/work/501101,1982.0,by Jean-Patrick Manchette,0.0,-3.72,1.0,1.0
108,Mr. Holmes ,2015,/work/16535221,A Slight Trick of the Mind,/work/211038,2014.0,by Mitch Cullin,0.0,-3.52,1.0,1.0
109,90 Minutes in Heaven ,2015,/work/17867472,90 Minutes in Heaven: A True Story of Death and Life {memoir},/work/297872,1996.0,"by Don Piper, Cecil Murphey",0.0,-3.5,6.0,1.0
110,Blackway ,2015,/work/17999479,Go with Me,/work/4196042,2008.0,by Castle Freeman,0.0,-3.63,20.0,2.0
111,The Great Gilly Hopkins ,2015,/work/19293250,The Great Gilly Hopkins,/work/6314,1978.0,by Katherine Paterson,0.0,-3.86,9.0,22.0
112,Wolf Totem ,2015,/work/23260420,Wolf Totem,/work/4303884,2004.0,by Jiang Rong,0.0,-3.78,1.0,3.0
113,Gone Girl ,2014,/work/16049250,Gone Girl,/work/11234211,,by Gillian Flynn,0.0,-3.86,21.0,23.0
114,The Maze Runner ,2014,/work/16501633,The Maze Runner,/work/8206950,2009.0,by James Dashner,1.0,-3.78,8.0,26.0
115,Edge of Tomorrow ,2014,/work/15581924,Edge of Tomorrow,/work/8419505,2004.0,by Hiroshi Sakurazaka,0.0,-3.81,2.0,1.0
116,Divergent ,2014,/work/16491446,Divergent,/work/10261765,2011.0,by Veronica Roth,1.0,-4.01,30.0,40.0
117,The Hobbit: The Battle of Five Armies,,/work/15657101,The Hobbit,/work/3206242,1937.0,by J. R. R. Tolkien,1.0,-4.27,39.0,30.0
118,The Hunger Games: Mockingjay: Part 1 ,2014,/work/15841154,Mockingjay,/work/9279041,,by Suzanne Collins,1.0,-3.91,38.0,8.0
119,Sin City: A Dame to Kill For ,2014,/work/16674519,Sin City: A Dame to Kill For,/work/5659,,by Frank Miller,1.0,-3.89,2.0,3.0
120,Unbroken ,2014,/work/16065784,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",/work/10151285,2010.0,by Laura Hillenbrand,0.0,-4.44,14.0,17.0
121,Vampire Academy ,2014,/work/16674756,Vampire Academy,/work/2936695,,by Richelle Mead,1.0,-4.01,7.0,5.0
122,The Fault in Our Stars ,2014,/work/15593048,The Fault in Our Stars,/work/11456497,2012.0,by John Green,0.0,-4.25,9.0,63.0
123,Inherent Vice,,/work/6663533,,,,by Thomas Pynchon,0.0,-3.6,5.0,5.0
124,A Walk Among the Tombstones ,2014,/work/16837564,A Walk Among the Tombstones,/work/24565,1992.0,by Lawrence Block,1.0,-3.94,5.0,1.0
125,The Giver ,2014,/work/15697816,The Giver,/work/9726954,1993.0,by Lois Lowry,1.0,-4.17,6.0,44.0
126,The November Man ,2014,/work/15571642,There Are No Spies,/work/474525,,by Bill Granger,1.0,-3.5,9.0,1.0
127,Endless Love ,2014,/work/19801939,Endless Love,/work/71746,1979.0,by Scott Spencer,0.0,-3.46,6.0,4.0
128,Seventh Son ,2014,/work/16510536,Revenge of the Witch,/work/8193712,2004.0,by Joseph Delaney,1.0,-3.85,12.0,5.0
129,This is Where I Leave You ,2014,/work/16474256,This Is Where I Leave You,/work/8372575,2009.0,by Jonathan Tropper,0.0,-3.84,19.0,3.0
130,The Best of Me ,2014,/work/19563721,The Best of Me,/work/11107851,2011.0,by Nicholas Sparks,0.0,-3.68,2.0,1.0
131,Still Alice ,2014,/work/16570435,Still Alice,/work/4301018,2007.0,by Lisa Genova,0.0,-4.24,8.0,3.0
132,Left Behind ,2014,/work/16660187,Left Behind: A Novel of the Earth's Last Days,/work/909,,"by Tim LaHaye, Angela Elwell Hunt, Jerry B. Jenkins",1.0,-3.35,10.0,4.0
133,If I Stay,,/work/7250107,,,,by Gayle Forman,1.0,-3.88,10.0,24.0
134,Addicted,,/work/8202034,,,,by Zane,0.0,-3.8,7.0,1.0
135,Before I Go to Sleep ,2014,/work/18011068,Before I Go to Sleep,/work/10650990,2011.0,by S. J. Watson,0.0,-3.73,6.0,15.0
136,The Hundred-Foot Journey ,2014,/work/16713660,The Hundred-Foot Journey,/work/9751827,2008.0,by Richard C. Morais,0.0,-3.46,2.0,1.0
137,The Homesman ,2014,/work/16429412,The Homesman: A Novel,/work/1648144,,by Glendon Swarthout,0.0,-3.87,1.0,2.0
138,Winter's Tale ,2014,/work/18459305,Winter's Tale,/work/7118,1983.0,by Mark Helprin,0.0,-4.0,16.0,5.0
139,A Most Wanted Man ,2014,/work/15466630,A Most Wanted Man,/work/5532612,2008.0,by John Le Carré,0.0,-3.47,11.0,3.0
140,Serena ,2014,/work/17635818,Serena,/work/5387906,2008.0,by Ron Rash,0.0,-3.69,4.0,6.0
141,Desde Que O Samba e Samba (Em Portugues do Brasil),,/work/12501886,,,,by Paulo Lins,0.0,-4.0,1.0,1.0
142,A Long Way Down ,2014,/work/17283681,A Long Way Down,/work/7372,2005.0,by Nick Hornby,0.0,-3.46,8.0,2.0
143,The Two Faces of January ,2014,/work/17049587,The Two Faces of January,/work/255302,1961.0,by Patricia Highsmith,0.0,-3.52,3.0,1.0
144,Atlas Shrugged: Who Is John Galt? ,2014,/work/26060241,Atlas Shrugged Part III,/work/16953804,,by Jim Manera,1.0,-1.0,1.0,1.0
145,The Humbling ,2014,/work/18722806,The Humbling,/work/8387740,2009.0,by Philip Roth,0.0,-3.21,3.0,1.0
146,Memories ,1995,/work/16612928,Memories [manga],/work/614063,1990.0,"by Katsuhiro Ōtomo, Katsuhiro Otomo",0.0,-4.05,1.0,1.0
147,The Great Gatsby ,2013,/work/14005426,The Great Gatsby,/work/2964,1925.0,"by F. Scott Fitzgerald, Jane Pauley (Narrator), Maria Tsaneva (Illustrator)",0.0,-3.86,18.0,43.0
148,Carrie ,2013,/work/15310679,Carrie,/work/12444,1974.0,by Stephen King,0.0,-3.73,8.0,10.0
149,Snowpiercer ,2013,/work/15368830,"Snowpiercer, Volume 1: The Escape",/work/14675532,1983.0,"by Jacques Lob, Jean-Marc Rochette (Illustrator)",1.0,-3.23,1.0,1.0
150,Under the skin ,2013,/work/25383046,Under the Skin,/work/14044,2000.0,by Michel Faber,0.0,-3.73,6.0,5.0
151,The Hunger Games: Catching Fire ,2013,/work/14514700,Catching Fire,/work/8662515,,by Suzanne Collins,1.0,-4.18,42.0,17.0
152,World War Z ,2013,/work/14625355,World War Z,/work/6426432,2006.0,by Max Brooks,0.0,-3.99,24.0,12.0
153,The Hobbit: The Desolation of Smaug ,2013,/work/14612536,The Hobbit,/work/3206242,1937.0,by J. R. R. Tolkien,1.0,-4.27,39.0,30.0
154,12 Years a Slave ,2013,/work/14424088,Twelve Years a Slave,/work/331861,1853.0,by Solomon Northup,0.0,-4.2,1.0,1.0
155,Beautiful Creatures ,2013,/work/14407363,Beautiful Creatures,/work/8174366,,"by Kami Garcia, Margaret Stohl",1.0,-3.64,32.0,13.0
156,Warm Bodies ,2013,/work/14011559,Warm Bodies,/work/10473301,,by Isaac Marion,1.0,-3.86,5.0,1.0
157,Ender's Game ,2013,/work/14932974,Ender's Game,/work/825739,1977.0,by Orson Scott Card,1.0,-4.31,25.0,23.0
158,The Mortal Instruments: City of Bones ,2013,/work/14541354,City of Bones,/work/8024489,,by Cassandra Clare,1.0,-3.86,11.0,11.0
159,Odd Thomas ,2013,/work/16890922,Odd Thomas,/work/4451,2003.0,by Dean Koontz,1.0,-3.99,11.0,1.0
160,Filth ,2013,/work/14771654,Filth,/work/5773,,by Irvine Welsh,0.0,-3.54,6.0,1.0
161,Percy Jackson: Sea of Monsters ,2013,/work/14882535,The Sea of Monsters,/work/1491561,2006.0,by Rick Riordan,1.0,-4.09,63.0,7.0
162,The Host ,2013,/work/16735396,The Host: A Novel,/work/8300098,,by Stephenie Meyer,1.0,-3.91,10.0,7.0
163,The Family ,2013,/work/17242893,The Family,/work/83379,2001.0,by Mario Puzo,0.0,-3.34,5.0,1.0
164,The Book Thief ,2013,/work/14868750,The Book Thief,/work/393681,2005.0,by Markus Zusak,0.0,-4.36,12.0,41.0
165,Safe Haven ,2013,/work/14078313,Safe Haven,/work/9798423,2010.0,by Nicholas Sparks,0.0,-3.92,6.0,1.0
166,The Spectacular Now,,/work/5042460,,,,by Tim Tharp,0.0,-3.52,4.0,4.0
167,Paranoia ,2013,/work/19648017,Paranoia,/work/25779,2004.0,by Joseph Finder,0.0,-3.67,3.0,3.0
168,Hard to be a god,,/work/3533838,,,1964.0,"by Arkady Strugatsky, Boris Strugatsky",1.0,-3.76,28.0,5.0
169,Admission ,2013,/work/17673076,Admission,/work/7789012,,by Jean Hanff Korelitz,0.0,-3.61,5.0,1.0
170,How I Live Now ,2013,/work/16626105,How I Live Now,/work/23158,2004.0,by Meg Rosoff,0.0,-3.77,7.0,16.0
171,The Physician ,2013,/work/15214200,The Physician,/work/189051,1986.0,by Noah Gordon,1.0,-4.17,1.0,3.0
172,Life of Crime ,2013,/work/17716864,The Switch,/work/128319,1978.0,by Elmore Leonard,0.0,-3.75,2.0,1.0
173,Blood Ties ,2013,/work/24114418,Blood Ties,/work/187777,1986.0,"by Robert Asprin (Editor), Lynn Abbey (Editor), Lynn Abbey (Editor), Lynn Abbey (Editor), Lynn Abbey (Editor)",1.0,-3.69,1.0,1.0
174,Adventurer: The Curse of the Midas Box ,2013,/work/16822011,The Adventurer: The Curse of the Midas Box,/work/25056928,,by Michael Sheen,0.0,,1.0,1.0
175,Syrup,,/work/189651,,,1999.0,by Maxx Barry,0.0,-3.79,4.0,1.0
176,Mr. Morgan's Last Love ,2013,/work/17431134,The Last Love,/work/293373,1963.0,by Thomas B. Costain,0.0,-4.2,1.0,1.0
177,As I Lay Dying,,/work/3360,,,1930.0,by William Faulkner,0.0,-3.89,17.0,16.0
178,Jack and the Cuckoo-Clock Heart,,/work/21738297,,,,by Mathias Malzieu,0.0,-3.5,1.0,1.0
179,Legends of Oz - Dorothy's Return ,Blu-Ray,/work/22567191,,,,,,,,
180,The German Doctor ,2013,/work/20310557,The German Doctor,/work/15043181,,by Lucía Puenzo,0.0,-3.71,1.0,1.0
181,Alone Yet Not Alone: Their faith became their freedom,,/work/2168511,,,,by Tracy Leininger Craven,0.0,-4.0,1.0,1.0
182,Black Nativity ,2013,/work/14589571,Black Nativity,/work/5418693,,by Langston Hughes,0.0,-4.0,1.0,1.0
183,Victoria ,2013,/work/13585246,Victoria,/work/81137,1898.0,by Knut Hamsun,0.0,-3.81,2.0,1.0
184,The Hunger Games ,2012,/work/12926399,The Hunger Games,/work/4979986,,by Suzanne Collins,1.0,-4.32,30.0,73.0
185,Cloud Atlas ,2012,/work/13462108,Cloud Atlas,/work/3654,2004.0,by David Mitchell,0.0,-4.1,12.0,25.0
186,The Hobbit: An Unexpected Journey,,/work/13636004,The Hobbit,/work/3206242,1937.0,by J. R. R. Tolkien,1.0,-4.27,39.0,30.0
187,Les Misérables ,2012,/work/13809637,Les Misérables,/work/19485,1862.0,"by Victor Hugo, Victor Hugo, Victor Hugo",0.0,-4.27,27.0,25.0
188,The Perks of Being a Wallflower ,2012,/work/13809050,The Perks of Being a Wallflower,/work/10482,,by Stephen Chbosky,0.0,-4.01,10.0,8.0
189,Jack Reacher ,2012,/work/13787729,One Shot,/work/156525,2005.0,by Lee Child,1.0,-3.96,21.0,3.0
190,Abraham Lincoln: Vampire Hunter ,2012,/work/13819948,Abraham Lincoln: Vampire Hunter,/work/8931199,2010.0,by Seth Grahame-Smith,1.0,-3.56,29.0,1.0
191,John Carter ,2012,/work/12783754,A Princess of Mars,/work/82902,1912.0,by Edgar Rice Burroughs,1.0,-3.58,15.0,4.0
192,Journey 2: The Mysterious Island ,2012,/work/12621654,The Mysterious Island,/work/183845,1874.0,by Jules Verne,1.0,-3.92,10.0,6.0
193,The Woman in Black ,2012,/work/12997663,The Woman in Black,/work/63662,1983.0,by Susan Hill,0.0,-3.7,14.0,7.0
194,Life of Pi ,2012,/work/13360628,Life of Pi,/work/5197633,2001.0,by Yann Martel,0.0,-3.91,7.0,29.0
195,Lawless ,2012,/work/15469312,The Wettest County in the World,/work/5679254,,by Matt Bondurant,0.0,-3.47,4.0,1.0
196,Anna Karenina ,2012,/work/14327781,Anna Karenina,/work/2340,1877.0,"by Leo Tolstoy, George Gibian (Editor)",0.0,-4.15,39.0,32.0
197,Savages ,2012,/work/16370115,Savages,/work/179668,,by Shirley Conran,0.0,-3.59,1.0,1.0
198,Diary of a Wimpy Kid: Dog Days ,2012,/work/17253228,Diary of a Wimpy Kid: Dog Days,/work/8789607,,by Jeff Kinney,1.0,-4.06,6.0,3.0
199,The Lucky One ,2012,/work/16767390,The Lucky One,/work/5304078,2008.0,by Nicholas Sparks,0.0,-3.86,8.0,1.0
200,On the Road ,2012,/work/13040260,On the Road,/work/3207,1957.0,by Jack Kerouac,0.0,-3.64,9.0,33.0
201,Cosmopolis ,2012,/work/13997123,Cosmopolis,/work/971270,2003.0,by Don DeLillo,0.0,-3.09,3.0,1.0
202,The Paperboy ,2012,/work/11525845,The Paperboy,/work/41406,,by Pete Dexter,0.0,-3.76,6.0,3.0
203,One for the Money ,2012,/work/14388331,One for the Money,/work/9759186,1994.0,by Janet Evanovich,1.0,-3.88,4.0,6.0
204,Alex Cross ,2012,/work/13526065,Cross,/work/993429,2006.0,by James Patterson,1.0,-3.64,5.0,1.0
205,The Company You Keep ,2012,/work/14914134,The Company You Keep,/work/348044,2005.0,by Angela Henry,1.0,-3.25,1.0,1.0
206,What Maisie Knew ,2012,/work/14342569,What Maisie Knew,/work/19973,1897.0,by Henry James,0.0,-3.38,2.0,2.0
207,Atlas Shrugged II: The Strike ,2012,/work/13599913,,,,,,,,
