Title,Release_Date,ViewRating,Genres,Budget,DomesticGross,WorldwideGross,Description,Keywords,Runtime
The Little Vampire,2000,PG,Adventure Comedy Family Fantasy ,"35,000,000 (estimated)","13,572,400","27,965,865","Based on the popular books, the story tells of Tony who wants a friend to add some adventure to his life. What he gets is Rudolph, a vampire kid with a good appetite. The two end up inseparable, but their fun is cut short when all the hopes of the vampire race could be gone forever in single night. With Tony's access to the daytime world, he helps them to find what they've always wanted.",vampire bully comeuppance bully flying friendship between boys 65 more ,113.0
102 Dalmatians,2000,G,Adventure Comedy Family ,"85,000,000 (estimated)","66,957,026","183,611,771","After a spot of therapy, Cruella De Vil is released from prison a changed woman. Devoted to dogs and good causes, she is delighted that Chloe, her parole officer, has a dalmatian family and connections with a dog charity. But the sound of Big Ben can reverse the treatment so it is only a matter of time before Ms De Vil is back to her incredibly ghastly ways, using her new-found connections with Chloe and friends.",cruella de vil character scheme plot plan dog 174 more ,64.0
The Legend of Bagger Vance,2000,PG-13,Drama Fantasy Sport ,"80,000,000 (estimated)","30,919,168","39,459,427","A disillusioned war veteran, Captain Rannulph Junuh, reluctantly agrees to play a game of golf. He finds the game futile until his caddy, Bagger Vance, teaches him the secret of the authentic golf stroke which turns out also to be the secret to mastering any challenge and finding meaning in life.",golf magical negro stereotype female removes her clothes no music during opening credits plus fours 115 more ,126.0
Battlefield Earth,2000,PG-13,Action Adventure Sci-Fi ,"73,000,000 (estimated)","21,471,685","29,725,663","In the year 3000, humanity is no match for the Psychlos, a greedy, manipulative race on a quest for ultimate profit. Led by the seductive and powerful Terl, the Psychlos are stripping Earth of its resources, using the broken remnants of humanity as slaves. What is left of the human race has reverted to a primitive state, believing the invaders to be demons and technology to be evil. After humanity has all but given up any hope of freeing themselves from alien oppression, a young man named Tyler decides to leave his desolate home high in the Rocky Mountains to discover the truth, whereupon he is captured and enslaved. It is then that he decides to fight back, leading his fellow man in one final struggle for freedom.",bad acting stupidity arm blown off dutch angle cult film 231 more ,145.0
Where the Heart Is,2000,PG-13,Comedy Drama Romance ,"15,000,000 (estimated)","33,772,838","40,863,718","Novalee Nation (Natalie Portman) is a pregnant seventeen-year-old from Tennessee heading to California with her boyfriend Willie Jack Pickens (Dylan Bruno), but is abandoned by him at a Walmart in Sequoyah, Oklahoma. Novalee has no job, no skills, and only five dollars and fifty-five cents in her pocket, so she secretly lives in the Walmart until her daughter Americus (Mackenzie Fitzgerald) is born six weeks later. Novalee decides to raise her daughter and rebuild her life in Sequoyah, Oklahoma, with the help of eccentric but kind strangers. Based on the best-selling novel by Billie Letts.",17 year old small town library wal mart woman holds a baby 86 more ,122.0
Shaft,2000,R,Action Crime Thriller ,"46,000,000 (estimated)","70,334,258","107,626,125","New York Police Detective John Shaft is the lead detective on a sensitive case, a young black man is severely beaten. The man's companions tell Shaft that their friend humiliated the one who was spouting racial slurs at him. Shaft confronts him and he says he's Walter Wade Jr. , the son of a wealthy man. Shaft finds that he has the ID of a woman who's a waitress at the bar where Wade and the guy who was attacked were. When Wade continues to hurl racist comments, Shaft smacks him. Shaft later learns because of his actions Wade was granted bail and fled. Two years later, Wade returns and Shaft arrests him. At his hearing when the judge grants him bail, that's when Shaft throws his badge at the judge. He then sets out to get Wade by finding the waitress. Wade in the meantime asks a drug dealer named Peoples Hernandez to find the waitress and make sure she doesn't talk.",fourth part uncle nephew relationship blaxploitation based on novel title spoken by character 139 more ,153.0
Pay It Forward,2000,PG-13,Drama ,"40,000,000 (estimated)","33,519,628","55,707,411","Young Trevor McKinney, troubled by his mother's alcoholism and fears of his abusive but absent father, is caught up by an intriguing assignment from his new social studies teacher, Mr. Simonet. The assignment: think of something to change the world and put it into action. Trevor conjures the notion of paying a favor not back, but forward--repaying good deeds not with payback, but with new good deeds done to three new people. Trevor's efforts to make good on his idea bring a revolution not only in the lives of himself, his mother and his physically and emotionally scarred teacher, but in those of an ever-widening circle of people completely unknown to him.",social studies good deed alcoholism protective male title directed by female 100 more ,123.0
All the Pretty Horses,2000,PG-13,Drama Romance Western ,"57,000,000 (estimated)","15,540,353","18,133,495","Two young Texas cowboys on the cusp of manhood ride into 1940's Mexico in search of experience. What they find is a country as chaotic as it is beautiful, as cruel and unfeeling as it is mysterious, where death is a constant, capricious companion.",ranch hand cattle drive horse ranch wrongful arrest false accusation 63 more ,125.0
The Crimson Rivers,2000,R,Crime Mystery Thriller ,"14,000,000 (estimated)","594,966","60,103,680","Parisian murder detective commissioner Pierre Niemans is called to Guernon, a self-sufficient, prestigious university in a mountain valley, to investigate the murder on 32-year old professor and librarian Rémy Caillois, whose corpse was found 50 meters high on a steep mountain side, naked, horribly covered in bruises and bleeding wounds, the result of some five hours of bestial torture including quasi-surgical amputation of hands cauterized to prevent bleeding to death- and eyes. Guernon is a closed society of virtually incestuous scientists, de facto succeeding to their parents' posts; the eye-doctor, formerly on the staff, says hereditary genetic diseases are the price of such elitism, but in recent years spread to the simple farming families. Inspector Max Kerkerian examines two crimes in the town: a school break-in with theft of old photos and archive papers as well as a graveyard desecration of Judith Herault, the daughter of local nun Andrée, who lives in a dark cell since 15 years and mumbles the demons who made an attempt of both of their lives have returned to prevent the child endanger their secret. As both police investigations continue, the loner sleuths meet; secrets and other corpses are found, till it all ties together.",neo noir child scene of the crime climbing a wall murder 183 more ,124.0
Get Carter,2000,R,Action Crime Drama Thriller ,"63,600,000 (estimated)","14,967,182","19,412,993","Years ago, Jack Carter left his Seattle home to become a Las Vegas mob casino financial enforcer. He returns for the funeral of his brother Richard ""Richie"" after a car crash during a storm, atypical of the careful house-father. Talking to the widow, daughter Doreen, and enigmatic Geraldine, Jack suspects it was murder. Cliff Brumby, whose club Richie ran, is financially linked to porn and prostitution baron Cyrus Paice, who claims to be just a front-man for ITC tycoon Jeremy Kinnear. Someone hired goon Thorpey to make Jack return to Las Vegas. Jack's partner Con McCarty is restless, apparently about their boss Les Fletcher, whose wife had an affair with Jack. Someone breaks into Richie's home, looking for a crucial CD.",enforcer movie flop cigarette body lands on a car character repeats someone else's dialogue 104 more ,84.0
Under Suspicion,2000,R,Crime Drama Thriller ,"25,000,000 (estimated)","260,562","1,308,242","A lawyer is asked to come to the police station to clear up a few loose ends in his witness report of a foul murder. This will only take ten minutes, they say, but it turns out to be one loose end after another, and the ten minutes he is away from his speech become longer and longer...",sex scene pedophile police child rape marriage of convenience 64 more ,65.0
Wonder Boys,2000,R,Comedy Drama ,"55,000,000 (estimated)","19,393,557","33,426,588","Grady Tripp is a professor/writer living in Pittsburgh who is struggling with writer's block. Whilst doing this, he also manages to get the chancellor pregnant. In the meantime, he and a college student, James Leer are trying to find a rare jacket once owned by Marilyn Monroe, and a college girl, Hannah Green boarding with Grady has a bit of a crush on him.",pot smoking marijuana extramarital affair reference to marilyn monroe male objectification 117 more ,134.0
Bless the Child,2000,R,Crime Drama Horror Thriller ,"65,000,000 (estimated)","29,381,494","40,443,010","Omens and concepts of good vs. evil have no place in Maggie O'Connor's well-ordered, practical universe. Her life revolves around her job as a nurse at a busy New York City hospital, until one rainy night, her sister Jenna abandons her newborn, autistic daughter at her home. Maggie takes the baby in, and she becomes the daughter she never had. Six years later Jenna suddenly re-appears with a mysterious new husband, Eric, and abducts Cody. Despite the fact that Maggie has no legal rights to Cody, F.B.I. Agent John Travis, an expert in ritual homicide and occult-related crime, takes up her cause when he realizes that Cody shares the same birth date as several other recently missing children. The little girl, it soon becomes clear, is more than simply ""special"". She manifests extraordinary powers that the forces of evil have waited centuries to control, and her abduction sparks a clash between the soldiers of good and evil that can only be resolved, in the end, by the strength of one small child and the love she inspires in those she touches.",evil man heroine nurse satanic cult omen 122 more ,134.0
Vampire Hunter D: Bloodlust,2000,R,Animation Action Fantasy Horror Sci-Fi ,Non,"151,086","151,086","It is many thousand years in the future. Vampires once ruled the night but have seen their numbers reduced by fearless bounty hunters. One such hunter is D, the halfbreed son of a human mother and vampire father. When a girl from a rich family is taken from her home by the vampire Meier Link, her father contracts both D and the Markus brothers (a rival group of hunters) to race to retrieve her. As the heroes fight their way through Meier's hired guards, they begin to suspect that the girl may have gone with him willingly.",male dhampir hybrid male human vampire hybrid human vampire hybrid bladed weapon 325 more ,94.0
Joint Security Area,2000,Not Rated,Action Drama Thriller War ,Non,Non,"124,071","In the DMZ separating North and South Korea, two North Korean soldiers have been killed, supposedly by one South Korean soldier. But the 11 bullets found in the bodies, together with the 5 remaining rounds in the assassin's magazine, amount to 16 cartridges for a gun that should normally hold 15. The investigating Swiss/Swedish team from the neutral countries overseeing the DMZ suspects that another, unknown party was involved - all of which points to some sort of cover up. The truth is much simpler and much more tragic.",korean demilitarised zone north south korea divide never give up escape believe in yourself 22 more ,65.0
Pollock,2000,R,Biography Drama ,"6,000,000 (estimated)","8,598,593","10,994,533","At the end of the 1940's, abstract expressionist Jackson Pollock (1912-1956) is featured in Life magazine. Flashback to 1941, he's living with his brother in a tiny apartment in New York City, drinking too much, and exhibiting an occasional painting in group shows. That's when he meets artist Lee Krasner, who puts her career on hold to be his companion, lover, champion, wife, and, in essence, caretaker. To get him away from booze, insecurity, and the stress of city life, they move to the Hamptons where nature and sobriety help Pollock achieve a breakthrough in style: a critic praises, then Life magazine calls. But so do old demons: the end is nasty, brutish, and short.",painter life magazine artist painting pulitzer prize source 113 more ,122.0
Left Behind: The Movie,2000,PG-13,Action Drama Fantasy Sci-Fi Thriller ,"4,000,000 (estimated)","4,224,065","4,224,065","Rayford Steele is an airline pilot whose relationship with his wife has gone sour;he ponders having an affair with an attractive flight attendant, Hattie Durham. In the midst of a flight to London, a number of their passengers mysteriously disappear, and chaos takes hold as a number of vehicles on the ground and in the air are suddenly unmanned. Meanwhile, Buck Williams, a television journalist, is pondering the rash of sudden disappearances as he works on a report about Dr. Chaim Rosenzweig, an Israeli scientist who has devised a formula that would make any soil on earth easy to cultivate. However, Buck wonders if there's more to Rosenzweig than he first imagined when he discovers the doctor is in cahoots with two multi-millionaires who plan to broker the invention to promote their own agenda of international domination.",based on the bible christian suburb stuffed animal mile high club 148 more ,123.0
The Guilty,2000,R,Crime Drama Thriller ,"14,000,000 (estimated)",Non,Non,"Young Nathan Corrigan has just been released from prison, he who was serving a sentence for auto theft. He is basically a good but misguided person, due in part to the company he keeps, namely the friends he's known since high school and his partners in crime, Leo and Dennis, and feeling unloved or unaccepted by his preacher father, Martin Corrigan. The feeling associated with that latter sentiment is strengthened when his mother, Maddy Corrigan, confesses to him that Martin is not his biological father, that person being who was then a law student named Callum Crane with who she had a one time liaison and who she never told about the pregnancy. Nathan decides to search for Callum. Meanwhile, Callum is now married and a high powered lawyer, whose colleagues in the know consider amoral and devious. Just before he is appointed a federal judge, Callum rapes Sophie Lennon, a secretary new to the law firm where he works. Because of that situation, Callum has Sophie fired. Feeling otherwise helpless in the situation, Sophie threatens to expose what Callum did unless he gives up his judgeship, she unable to stomach the thought that he would be overseeing rape cases. Based on the event surrounding their auspicious initial meeting, Callum, who wants Sophie just to go away, ends up asking Nathan to kill her, not knowing that his and Nathan's encounter was not by chance and that he is Nathan's biological father. Callum hands Nathan a sealed envelope with a $5,000 retainer and the identity of the person he wants killed, the remaining $25,000 payment only if the hit is carried out. Nathan decides not even to open the envelope. In addition to not knowing about being Nathan's father, Callum is also unaware that Nathan has become friends - Nathan's hope is to be more than just friends - with Sophie through a chance meeting through Sophie's roommate, Tanya Duncan, who in turn is attracted to Nathan herself. The web gets more complex when Leo manages to steal the envelope, he who plans to carry out Callum's request in Nathan's place as Leo desperately needs the money to pay off a mobster.",female massages her own foot woman takes off shoes camera shot of feet pantyhose female stockinged feet 147 more ,144.0
The Weight of Water,2000,R,Crime Drama Mystery Thriller ,"16,000,000 (estimated)","109,130","321,279","In 1873 on Smutty Nose Island, a bleak island off the coast of New England, Louis Wagner is tried and hanged for the murder of two women. At the trial, the survivor of the murders, Norwegian immigrant Maren Hontvedt, recounts the events that led up to the murder of her sister and sister-in-law. In so doing, she reveals how she was caught in a loveless marriage and her repressed passion for her brother. Meanwhile, in the present-day, newspaper photographer Jean travels to the island off the New Hampshire coast with her husband Thomas, an award-winning poet, his brother Rich, and Rich's girlfriend Adaline. She is researching the murders of the two immigrant women. In a twist of fate, she discovers archived papers that appear to give an account of the murders. According to the papers, Norwegian immigrant Maren Hontvedt, survived the attack, which was allegedly done by Louis Wagner, who had once tried to seduce her. The plot unfolds the narrative of the papers and Hontvedt's testimony against Wagner that gets him hanged, even though she was the murderer, as Jean surmises. Jean privately struggles with jealousy as Adaline openly flirts with Thomas, who openly appreciates Adaline's topless beauty, along with her interest in his work.",lesbian subtext woman murders a woman cleavage sail boat voyeur 200 more ,105.0
My Dog Skip,2000,PG,Comedy Drama Family ,"6,000,000 (estimated)","34,134,641","35,547,761","A shy boy is unable to make friends in Yazoo City, Mississippi in 1942, until his parents give him a terrier puppy for his ninth birthday. The dog, which he names Skip, becomes well known and loved throughout the community and enriches the life of the boy, Willie, as he grows into manhood. Based on the best-selling Mississippi memoir by the late Willie Morris.",mississippi dog 1940s war veteran voice over narration 102 more ,113.0
Waking the Dead,2000,R,Drama Mystery Romance Thriller ,"8,500,000 (estimated)","270,745","270,745","Fielding Pierce lives the life of an aspiring politician - in 1972 he's serving in the Coast Guard (trying to avoid Vietnam in the most honorable way), and by 1973 he has entered law school. Along the way he falls in love with Sarah, a fiercely idealistic woman who devotes her life to helping others - unfortunately she's killed in an explosion while assisting members of the Chilean resistance. Nine years later, in the middle of a congressional election, Fielding is suddenly flooded with thoughts and visions of his lost love.",female nudity based on novel father daughter relationship democratic party brother sister relationship 165 more ,114.0
Werckmeister Harmonies,2000,,Drama Mystery ,"<li class=""ipc-metadata-list__item BoxOffice__MetaDataListItemBoxOffice-sc-40s2pl-2 gwNUHl"" data-testid=""title-boxoffice-budget"" role=""presentation""><span class=""ipc-metadata-list-item__label"">Budget</span><div class=""ipc-metadata-list-item__content-container""><ul class=""ipc-inline-list ipc-inline-list--show-dividers ipc-inline-list--inline ipc-metadata-list-item__list-content base"" role=""presentation""><li class=""ipc-inline-list__item"" role=""presentation""><span class=""ipc-metadata-list-item__list-content-item"">FRF 10,000,000 (estimated)</span></li></ul></div></li","25,461","25,461","This story takes place in a small town on the Hungarian Plain. In a provincial town, which is surrounded with nothing else but frost. It is bitterly cold weather - without snow. Even in this bewildered cold hundreds of people are standing around the circus trailer, which is put up in the main square, to see - as the outcome of their wait - the chief attraction, the stuffed carcass of a real whale. The people are coming from everywhere. From the neighboring settlings, even from quite far away parts of the country. They are following this clumsy monster as a dumb, faceless, rag-wearing crowd. This strange state of affairs - the appearance of the foreigners, the extreme frost - disturbs the order of the small town. Aambitious personages of the story feel they can take advantage of this situation. The tension growing to the unbearable is brought to explosion by the figure of the Prince, who is pretending facelessness. Even his mere appearance is enough to break loose destructive emotions...",instrument tuning hungarian contemplative cinema anarchy philosophy 169 more ,172.0
Faust,2000,R,Drama Fantasy Horror Romance ,"<li class=""ipc-metadata-list__item BoxOffice__MetaDataListItemBoxOffice-sc-40s2pl-2 gwNUHl"" data-testid=""title-boxoffice-budget"" role=""presentation""><span class=""ipc-metadata-list-item__label"">Budget</span><div class=""ipc-metadata-list-item__content-container""><ul class=""ipc-inline-list ipc-inline-list--show-dividers ipc-inline-list--inline ipc-metadata-list-item__list-content base"" role=""presentation""><li class=""ipc-inline-list__item"" role=""presentation""><span class=""ipc-metadata-list-item__list-content-item"">€3,000,000 (estimated)</span></li></ul></div></li",Non,Non,"An artist, John Jaspers sells his soul to the mysterious ""M"" in order to get revenge on the people who killed his girlfriend. Soon, he realizes everything has a price, and he is transformed into a horned demon with a passion for killing. He learns that M plans to release the Homunculus, a giant Lizard-like monster onto the earth, opening the gate to hell. Now, Jaspers must stop M before he can let the apocalypse begin...",incest father daughter incest female ejaculation female rear nudity woman in underwear 129 more ,143.0
La fidélité,2000,,Drama ,Non,Non,"44,180",A talented photographer who lands a lucrative job in Paris with a scandal-mongering tabloid and becomes romantically involved with an eccentric children's book publisher while resisting the sexual advances of another photographer.,male full frontal nudity male frontal nudity female frontal nudity thin sexiness 70 more ,184.0
The Golden Bowl,2000,R,Drama Romance ,"15,000,000 (estimated)","3,050,532","5,753,678","Adam Verver, a US billionaire in London, dotes on daughter Maggie, an innocent abroad. An impecunious Italian, Prince Amerigo, marries her even though her best friend, Charlotte Stant, an alabaster beauty with brains, no money, and a practical and romantic nature, is his lover. She and Amerigo keep it secret from Maggie that they know each other, so Maggie interests her widowed father in Charlotte, who is happy with the match because she wants to be close to Amerigo. Charlotte desires him, the lovers risk discovery, Amerigo longs for Italy, Maggie wants to spare her father pain, and Adam wants to return to America to build a museum. Amidst lies and artifice, what fate awaits adulterers?",italy billionaire marriage for money extramarital affair upper class 31 more ,121.0
The Claim,2000,R,Drama Romance Western ,"20,000,000 (estimated)","669,258","885,836","A prospector sells his wife and daughter to another gold miner for the rights to a gold mine. Twenty years later, the prospector is a wealthy man who owns much of the old west town named Kingdom Come. But changes are brewing and his past is coming back to haunt him. A surveyor and his crew scout the town as a location for a new railroad line and a young woman suddenly appears in the town and is evidently the man's daughter.",seductive behavior gold railroad gold mine surveyor 125 more ,122.0
The House of Mirth,2000,PG,Romance Drama ,"10,000,000 (estimated)","3,043,284","5,164,404","Terence Davies' The House of Mirth is a tragic love story set against a background of wealth and social hypocrisy in turn of the century New York. Lily Bart is a ravishing socialite at the height of her success who quickly discovers the precariousness of her position when her beauty and charm start attracting unwelcome interest and jealousy. Torn between her heart and her head, Lily always seems to do the right thing at the wrong time. She seeks a wealthy husband and in trying to conform to social expectations, she misses her chance for real love with Lawrence Selden.",love reputation high society money period drama 83 more ,171.0
Looking for Alibrandi,2000,,Comedy Drama Romance ,,,,"Alibrandi ultimately concerns a senior high school girl embracing her Italian heritage, but moving toward the less traditional Australian way of life. A wonderful cast who play their roles superbly. The film plays on several levels. It will make you laugh and cry and ultimately better realise the dramas in life, how we adapt and how cope.",title directed by female family conflict mother daughter conflict 2000s character's point of view camera shot 89 more ,94.0
Animal Factory,2000,R,Crime Drama ,"3,600,000 (estimated)","43,805","43,805","Ron, who's young, slight, and privileged, is sentenced to prison on marijuana charges. For whatever reason, he brings out paternal feelings in an 18-year prison veteran, Earl Copan, who takes Ron under his wing. The film explores the nature of that relationship, Ron's part in Earl's gang, and the way Ron deals with aggressive cons intent on assault and rape. There's casual racism, too, in the prisoners and the guards, a strike called by Black prisoners, and the nearly omnipresence of hard drugs. Ron's lawyer is working on getting Ron out quickly, Earl has a shot at parole, and death seems to be waiting in the next cell. Will prison turn Ron into an animal?",prison prison cell cell phone marijuana gang 138 more ,103.0
Skipped Parts,2000,R,Comedy Drama Romance ,,,,"It's 1963. Poor little rich girl Lydia and her 14-year-old love-child Sam are banished from North Carolina while her powerful father runs for governor. They end up in Wyoming where she parties and Sam finds he's one of only two Grosvant High School students who read. Maurey is the other, a pre-pubescent girl wanting to discover what sex is about. She and Sam set out to learn with help from Lydia, who tells them it stops when Maurey has her first period. Trouble is, pregnancy comes first. In this small town, what can Maurey do, and will Sam have any say? Meantime, Hank Elkrunner, a Blackfoot, falls for the feckless Lydia, while her dictatorial dad keeps tabs on them all from afar.",john f. kennedy assassination governor high school student pregnancy 165 more ,64.0
Sade,2000,,Biography Crime Drama History ,Non,"100,544","100,544","Many noble families are locked in a chateau due to the French Revolution. The infamous Marquis de Sade is there and is generally shunned by the others. A teen-aged girl befriends him behind her parents back and learns about him and life in general. He initiates her into sexual exploration and leads her to become an independent, sexually-liberated woman.",voyeurism bare breasts female nudity female frontal nudity panties 161 more ,64.0
101 Reykjavík,2000,Not Rated,Comedy Romance ,Non,"126,404","546,459","Thirty-year-old Hlynur still lives with his mother and spends his days drinking, watching porn and surfing the net while living off unemployment checks. A girl is interested in him, but he stands back from commitment. His mother's Spanish flamenco teacher, Lola, moves in with them for Christmas. On New Year's Eve, while his mother is away, Hlynur finds out Lola is a lesbian, but also ends up having sex with her. He soon finds out he and his mother are sharing more than a house. Eventually he must find out where he fits into the puzzle, and how to live life less selfishly.",topless female nudity bare breasts nude nude girl female frontal nudity 220 more ,142.0
The Monkey's Mask,2000,R,Crime Mystery Thriller ,Non,Non,"6,831","Jill Fitzpatrick is a 28-year old, street-smart, out-of-work private investigator wishing she wasn't celibate. Eager for the taste of adrenaline, she accepts a job investigating the disappearance of Mickey, a young female student. Jill quickly strikes a spark with the seductive Diana, Mickey's poetry lecturer. But it is not long before Mickey's strangled body is found. Distrusting the cops, Mickey's grief-stricken parents ask Jill to find her murderer. Jill is soon hurled into a passionate liaison with Diana as she enters the surprisingly seamy underworld of Mickey's life, looking for clues to her murder. For whom did Mickey write her sexually charged poems? What is the connection between Mickey and her two favorite poets? Who is leaving threatening messages in verse on Jill's answering machine? Blinded by her passion, Jill is compromised in her search for the truth - until her own life is in danger.",lesbian sex poet lesbianism lesbian kiss 49 more ,93.0
Burnt Money,2000,R,Crime Drama Romance Thriller ,Non,"183,132","190,075","Burnt Money, is set in Argentina in 1965. This true story follows the tumultuous relationship between two men who became lovers and ultimately ruthless bank robbers in a notoriously famous footnote in the annals of Argentinian crime history. Nene, Angel and Cuervo are bank robbers who flee from Argentina across the border to Uruguay after a large-scale hold-up that turns bloody. Angel is hurt and the three must lay low until Angel recovers. Nene and Angel are known to everyone they know as ""the twins"" because of their resemblance, but the two are not brothers at all - they are involved in a steamy homosexual relationship. To get back to Argentina, the group must first wait for Fontana, the brains behind the robbery, to arrange for passports. Anxious from hiding, Cuervo decides to break curfew and go party. After Nene and Angel also decide to take off, Nene meets a prostitute named Giselle and Angel ends up getting in a fight. The group is forced to abandon their refuge and Angel and Nene decide to move in with Giselle. However, the sexual attraction between Nene and Angel burns too strongly and when Nene gets hostile with Giselle and kicks her out, she goes straight to the police to snitch on the group. It's not long before police are surrounding the building and the fate of Nene and Angel appears to be sealed.",homoeroticism homoerotic sensuality gay lead role sexual attraction 295 more ,125.0
