SearchTerm,Year,Link1,AdaptationOf,Link2,published_x,author_x,series_x,rating_x,charnum_x,awardnum_x
The Anatomy of Influence: Literature as a Way of Life,The Anatomy of Influence: Literature as a Way of Life,/work/11100634,,,,by Harold Bloom,0,-3.67,1,1
Ready Player One [2018 film],Ready Player One [2018 film],/work/21661094,Ready Player One,/work/10966683,2011,by Ernest Cline,1,-4.09,10,13
Red Sparrow [2018 film],Red Sparrow [2018 film],/work/21263659,Red Sparrow,/work/13568479,2013,by Jason Matthews,1,-3.82,9,3
Fantastic Beasts: The Crimes of Grindelwald [2018 film],Fantastic Beasts: The Crimes of Grindelwald [2018 film],/work/22634478,Fantastic Beasts: The Crimes of Grindelwald - The Original Screenplay,/work/21740108,,by J. K. Rowling,1,-3.71,15,1
Fifty Shades Freed [2018 film],Fifty Shades Freed [2018 film],/work/21776063,Fifty Shades Freed,/work/11914965,,by E. L. James,1,-3.35,19,3
The House with a Clock in Its Walls [2018 film],The House with a Clock in Its Walls [2018 film],/work/22387114,The House with a Clock in Its Walls,/work/10037,1973,by John Bellairs,1,-3.95,7,9
"Love, Simon [2018 film]","Love, Simon [2018 film]",/work/21263678,Simon vs. the Homo Sapiens Agenda,/work/15101561,2015,by Becky Albertalli,1,-4.22,5,15
Mortal Engines [2018 film],Mortal Engines [2018 film],/work/22939176,Mortal Engines,/work/22781,,by Philip Reeve,1,-3.85,10,19
Maze Runner: The Death Cure [2018 film],Maze Runner: The Death Cure [2018 film],/work/21742294,The Death Cure,/work/10838342,,by James Dashner,1,-3.56,10,2
The Darkest Minds [2018 film],The Darkest Minds [2018 film],/work/22446792,The Darkest Minds,/work/12179686,,by Alexandra Bracken,1,-3.97,9,2
The Girl in the Spider's Web [2018 Film],The Girl in the Spider's Web [2018 Film],/work/22690608,The Girl in the Spider's Web,/work/15888480,,by David Lagercrantz,1,-3.62,11,3
The Hate U Give [2018 film],The Hate U Give [2018 film],/work/22512640,The Hate U Give,/work/18690995,,by Angie Thomas,1,-4.48,15,23
A Wrinkle in Time [2018 film],A Wrinkle in Time [2018 film],/work/21526098,A Wrinkle in Time,/work/4044,,by Madeleine L'Engle,1,-4.05,19,27
London Fields,London Fields,/work/7165,,,1989,by Martin Amis,0,-3.7,3,5
Ophelia,Ophelia,/work/986361,,,2006,by Lisa Klein,0,-3.58,6,2
If Beale Street Could Talk,If Beale Street Could Talk,/work/76725,,,1974,by James Baldwin,0,-4.12,16,3
Every Day [2018 film],Every Day [2018 film],/work/21919186,Every Day,/work/12538587,,by David Levithan,1,-3.91,25,20
"Thugs Of Hindostan Hindi DVD - Amirk Khan, Amitabh Bachan, Katrina Kaif - A Bollywood Film By Aditya Chopra","Thugs Of Hindostan Hindi DVD - Amirk Khan, Amitabh Bachan, Katrina Kaif - A Bollywood Film By Aditya Chopra",/work/23000833,,,,by Vijay Krishna Acharya,0,,1,1
La Perdida,La Perdida,/work/508842,,,,by Jessica Abel,1,-3.5,3,1
The Bromley Boys: The True Story of Supporting the Worst Football Team in Britain,The Bromley Boys: The True Story of Supporting the Worst Football Team in Britain,/work/6248915,,,,by Dave Roberts,0,-4.3,1,1
The Smiles of Sad Men,The Smiles of Sad Men,,,,,,,,,
It [2017 film],It [2017 film],/work/20993425,It,/work/1489,1986,by Stephen King,0,-4.07,35,18
Murder on the Orient Express [2017 film],Murder on the Orient Express [2017 film],/work/20623349,Murder on the Orient Express,/work/2742,1934,by Agatha Christie,1,-4.06,18,9
Molly's Game [2017 film],Molly's Game [2017 film],/work/21695216,"Molly's Game: From Hollywood's Elite to Wall Street's Billionaire Boys Club, My High-Stakes Adventure in the World of Underground Poker",/work/15114888,,by Molly Bloom,0,-3.32,1,1
Wonder [2017 film],Wonder [2017 film],/work/20799541,Wonder,/work/11993910,,by R. J. Palacio,1,-4.48,9,63
Fifty Shades Darker [2017 film],Fifty Shades Darker [2017 film],/work/19875583,Fifty Shades Darker,/work/11716130,2011,by E. L. James,1,-3.37,15,5
The Foreigner [2017 film],The Foreigner [2017 film],/work/20906546,The Foreigner,/work/26659140,,by Stephen Leather,0,,1,1
Atomic Blonde [2017 film],Atomic Blonde [2017 film],/work/20654862,The Coldest City,/work/12201399,2012,"by Antony Johnston, Sam Hart (Illustrator)",1,-3.22,1,1
American Assassin [2017 film],American Assassin [2017 film],/work/20760385,American Assassin,/work/9783887,,by Vince Flynn,1,-3.9,30,1
The Snowman [2017 film],The Snowman [2017 film],/work/20976616,The Snowman,/work/6767489,2007,by Jo Nesbø,1,-3.84,17,6
The Dark Tower [2017 film],The Dark Tower [2017 film],/work/20294605,The Dark Tower,/work/5974,2004,by Stephen King,1,-4.12,19,3
"Walden ; and, Civil Disobedience","Walden ; and, Civil Disobedience",/work/7792054,,,1854,by Henry David Thoreau,0,-3.89,1,2
Kingsman: The Golden Circle [2017 film],Kingsman: The Golden Circle [2017 film],/work/20746041,The Circle,/work/14149720,2013,by Dave Eggers,0,-3.37,9,3
The Mountain Between Us [2017 movie],The Mountain Between Us [2017 movie],/work/20801969,,,,,,,,
The Beguiled [2017 film],The Beguiled [2017 film],/work/20409758,The Beguiled [1971 film],/work/14878336,1971,"by Don Siegel (Director), John B. Sherry (Screenwriter)",0,-3.75,1,1
"Everything, Everything [2017 film]","Everything, Everything [2017 film]",/work/20073290,"Everything, Everything",/work/15602340,2015,by Nicola Yoon,0,-3.94,1,11
Before I Fall [2017 film],Before I Fall [2017 film],/work/19531587,Before I Fall,/work/8465376,,by Lauren Oliver,0,-3.99,11,13
A Dog's Purpose [2017 film],A Dog's Purpose [2017 film],/work/19502630,A Dog's Purpose,/work/9751253,2010,by W. Bruce Cameron,1,-4.19,11,1
Diary of a Wimpy Kid: The Long Haul [2017 film],Diary of a Wimpy Kid: The Long Haul [2017 film],/work/20037511,Diary of a Wimpy Kid: The Long Haul,/work/14925100,2014,by Jeff Kinney,1,-4.15,1,2
The Shack [2017 film],The Shack [2017 film],/work/19603282,The Shack,/work/3376637,2008,"by William P. Young, William Paul Young (Author)",0,-3.43,8,4
Tulip Fever [2017 film],Tulip Fever [2017 film],/work/20197888,Tulip Fever,/work/123153,1999,by Deborah Moggach,0,-3.35,5,1
The Bookshop [2017 film],The Bookshop [2017 film],/work/21906266,The Bookshop,/work/27147,1977,by Penelope Fitzgerald,0,-3.51,3,1
Submergence,Submergence,/work/11541974,,,,by J. M. Ledgard,0,-3.49,1,3
A Bag of Marbles,A Bag of Marbles,/work/557783,,,1973,by Joseph Joffo,1,-3.57,1,3
Legend Of The Demon Cat [Blu-ray],Legend Of The Demon Cat [Blu-ray],/work/25048227,,,,,,,,
Miss Peregrine's Home for Peculiar Children [2016 film],Miss Peregrine's Home for Peculiar Children [2016 film],/work/18587523,Miss Peregrine's Home For Peculiar Children,/work/10951114,,by Ransom Riggs,1,-3.7,24,9
The Girl on the Train [2016 film],The Girl on the Train [2016 film],/work/18400760,The Girl on the Train,/work/15083269,2015,by Paula Hawkins,0,-3.63,14,19
Me Before You [2016 film],Me Before You [2016 film],/work/18335169,Me Before You,/work/11686136,2013,by Jojo Moyes,1,-4.12,16,4
Fantastic Beasts and Where to Find Them [2016 film],Fantastic Beasts and Where to Find Them [2016 film],/work/19340638,Fantastic Beasts and Where to Find Them,/work/642676,2001,"by J. K. Rowling, Newt Scamander",1,-3.68,2,1
Live By Night [2016 film],Live By Night [2016 film],/work/19310480,Live by Night,/work/12326900,,by Dennis Lehane,1,-3.79,12,6
Inferno [2016 film],Inferno [2016 film],/work/17865308,Inferno,/work/13407344,2013,by Dan Brown,1,-3.55,4,3
Silence,Silence,/work/1031302,,,1966,by Shūsaku Endō,0,-4.02,4,9
Pride And Prejudice And Zombies [2016 film],Pride And Prejudice And Zombies [2016 film],/work/17902220,Pride and Prejudice and Zombies,/work/7653406,2009,by Seth Grahame-Smith,1,-3.22,10,5
The Jungle Book [2016 film],The Jungle Book [2016 film],/work/18187610,The Jungle Books,/work/2774556,1894,by Rudyard Kipling,1,-3.92,18,2
Nerve [2016 film],Nerve [2016 film],/work/17865313,Nerve,/work/42881,1964,by Dick Francis,0,-3.89,5,1
Jack Reacher: Never Go Back [2016 film],Jack Reacher: Never Go Back [2016 film],/work/18698908,Never Go Back,/work/13480915,,by Lee Child,1,-3.78,11,3
Alice Through the Looking Glass [2016 film],Alice Through the Looking Glass [2016 film],/work/18514410,Alice's Adventures in Wonderland / Through the Looking-Glass,/work/777000,1865,by Lewis Carroll,1,-4.12,32,5
The 5th Wave [2016 film],The 5th Wave [2016 film],/work/17748008,The 5th Wave,/work/13135918,2013,by Rick Yancey,1,-3.89,25,22
Allegiant [2016 film],Allegiant [2016 film],/work/18133746,Allegiant,/work/11584289,,by Veronica Roth,1,-3.42,2,3
The Light Between Oceans [2016 film],The Light Between Oceans [2016 film],/work/18922217,The Light Between Oceans,/work/12179054,2012,by M. L. Stedman,0,-3.91,12,11
A Hologram For The King [2016 film],A Hologram For The King [2016 film],/work/18228488,A Hologram for the King,/work/12670700,,by Dave Eggers,0,-3.37,1,8
Ben-Hur [2016 film],Ben-Hur [2016 film],/work/18796533,Ben-Hur: A Tale of the Christ,/work/3152,1880,by Lew Wallace,0,-3.78,10,5
Billy Lynn's Long Halftime Walk [2016 film],Billy Lynn's Long Halftime Walk [2016 film],/work/19041172,Billy Lynn's Long Halftime Walk,/work/12072317,2012,by Ben Fountain,0,-3.9,1,15
The Young Messiah,The Young Messiah,/work/18534727,,,,by Cyrus Nowrasteh,0,-4,1,1
Fitoor,Fitoor,/work/26401247,,,,by Aditya Roy Kapoor,0,,1,1
Kontributsiya,Kontributsiya,,,,,,,,,
Fifty Shades of Grey [2015 film],Fifty Shades of Grey [2015 film],/work/16668532,Fifty Shades of Grey,/work/11347028,,by E. L. James,1,-2.94,14,4
Goosebumps [2015 film],Goosebumps [2015 film],/work/17151492,Attack of the Mutant,/work/544652,,by R. L. Stine,1,-3.44,1,1
The Revenant [2015 Film],The Revenant [2015 Film],/work/17001047,The Revenant,/work/825275,2002,by Michael Punke,0,-3.77,20,1
The Martian [2015 film],The Martian [2015 film],/work/16585696,The Martian,/work/13265773,,by Andy Weir,1,-4.28,20,15
War Room [2015 film],War Room [2015 film],/work/16983424,Room,/work/9837747,2010,by Emma Donoghue,0,-4.03,11,33
The Hunger Games: Mockingjay: Part 2 [2015 film],The Hunger Games: Mockingjay: Part 2 [2015 film],/work/16809065,Mockingjay,/work/9279041,,by Suzanne Collins,1,-3.91,38,8
Victor Frankenstein [2015 film],Victor Frankenstein [2015 film],/work/17501366,This Dark Endeavor: The Apprenticeship of Victor Frankenstein,/work/10930691,,by Kenneth Oppel,1,-3.83,6,12
The Danish Girl [2015 film],The Danish Girl [2015 film],/work/17000961,The Danish Girl,/work/73690,2000,by David Ebershoff,0,-3.69,3,6
Carol [2015 film],Carol [2015 film],/work/16974198,The Price of Salt,/work/112217,1952,by Patricia Highsmith,0,-3.83,9,2
Maze Runner: The Scorch Trials [2015 film],Maze Runner: The Scorch Trials [2015 film],/work/16911047,The Scorch Trials,/work/9448063,,by James Dashner,1,-3.71,8,4
Brooklyn [2015 film],Brooklyn [2015 film],/work/16718871,Brooklyn,/work/7636753,,by Colm Tóibín,0,-3.7,29,10
Insurgent [2015 film],Insurgent [2015 film],/work/17070915,Insurgent,/work/11657372,2013,by Veronica Roth,1,-3.82,12,3
Home [2015 film],Home [2015 film],/work/16502494,Home,/work/5056952,2008,by Marilynne Robinson,1,-3.99,9,13
Child 44 [2015 film],Child 44 [2015 film],/work/17138333,Child 44,/work/4104266,2008,by Tom Rob Smith,1,-3.96,16,21
Beasts of No Nation [2015 film],Beasts of No Nation [2015 film],/work/19064944,Beasts of No Nation,/work/23959,2005,by Uzodinma Iweala,0,-3.62,22,10
Pan [2015 film],Pan [2015 film],/work/16944859,Peter Pan,/work/6252,1911,by J. M. Barrie,1,-3.96,33,9
Wild Card [2015 film],Wild Card [2015 film],/work/18339878,Wild Card,/work/9016933,,by Tiki Barber,0,-4.25,1,1
Me and Earl and the Dying Girl [2015 film],Me and Earl and the Dying Girl [2015 film],/work/17603294,Me and Earl and the Dying Girl,/work/12028167,,by Jesse Andrews,0,-3.55,18,11
Paper Towns [2015 film],Paper Towns [2015 film],/work/16896068,Paper Towns,/work/5105584,,by John Green,0,-3.89,21,22
Dark Places [2015 film],Dark Places [2015 film],/work/18593839,Dark Places,/work/6752089,,by Gillian Flynn,0,-3.83,12,3
The Diary of a Teenage Girl [2015 film],The Diary of a Teenage Girl [2015 film],/work/17366444,The Diary of a Teenage Girl: An Account in Words and Pictures,/work/141132,,by Phoebe Gloeckner,0,-4.01,1,1
Z for Zachariah [2015 film],Z for Zachariah [2015 film],/work/17271231,Z for Zachariah,/work/112326,1975,by Robert C. O'Brien,0,-3.73,4,6
The Gunman [2015 film],The Gunman [2015 film],/work/17179628,The Prone Gunman,/work/501101,1982,by Jean-Patrick Manchette,0,-3.72,1,1
Mr. Holmes [2015 film],Mr. Holmes [2015 film],/work/16535221,A Slight Trick of the Mind,/work/211038,2014,by Mitch Cullin,0,-3.52,1,1
90 Minutes in Heaven [2015 film],90 Minutes in Heaven [2015 film],/work/17867472,90 Minutes in Heaven: A True Story of Death and Life {memoir},/work/297872,1996,"by Don Piper, Cecil Murphey",0,-3.5,6,1
Blackway [2015 film],Blackway [2015 film],/work/17999479,Go with Me,/work/4196042,2008,by Castle Freeman,0,-3.63,20,2
The Great Gilly Hopkins [2015 film],The Great Gilly Hopkins [2015 film],/work/19293250,The Great Gilly Hopkins,/work/6314,1978,by Katherine Paterson,0,-3.86,9,22
Wolf Totem [2015 film],Wolf Totem [2015 film],/work/23260420,Wolf Totem,/work/4303884,2004,by Jiang Rong,0,-3.78,1,3
Gone Girl [2014 film],Gone Girl [2014 film],/work/16049250,Gone Girl,/work/11234211,,by Gillian Flynn,0,-3.86,21,23
The Maze Runner [2014 film],The Maze Runner [2014 film],/work/16501633,The Maze Runner,/work/8206950,2009,by James Dashner,1,-3.78,8,26
Edge of Tomorrow [2014 film],Edge of Tomorrow [2014 film],/work/15581924,Edge of Tomorrow,/work/8419505,2004,by Hiroshi Sakurazaka,0,-3.81,2,1
Divergent [2014 film],Divergent [2014 film],/work/16491446,Divergent,/work/10261765,2011,by Veronica Roth,1,-4.01,30,40
The Hobbit: The Battle of Five Armies,The Hobbit: The Battle of Five Armies,/work/15657101,The Hobbit,/work/3206242,1937,by J. R. R. Tolkien,1,-4.27,39,30
The Hunger Games: Mockingjay: Part 1 [2014 film],The Hunger Games: Mockingjay: Part 1 [2014 film],/work/15841154,Mockingjay,/work/9279041,,by Suzanne Collins,1,-3.91,38,8
Sin City: A Dame to Kill For [2014 film],Sin City: A Dame to Kill For [2014 film],/work/16674519,Sin City: A Dame to Kill For,/work/5659,,by Frank Miller,1,-3.89,2,3
Unbroken [2014 film],Unbroken [2014 film],/work/16065784,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",/work/10151285,2010,by Laura Hillenbrand,0,-4.44,14,17
Vampire Academy [2014 film],Vampire Academy [2014 film],/work/16674756,Vampire Academy,/work/2936695,,by Richelle Mead,1,-4.01,7,5
The Fault in Our Stars [2014 film],The Fault in Our Stars [2014 film],/work/15593048,The Fault in Our Stars,/work/11456497,2012,by John Green,0,-4.25,9,63
Inherent Vice,Inherent Vice,/work/6663533,,,,by Thomas Pynchon,0,-3.6,5,5
A Walk Among the Tombstones [2014 film],A Walk Among the Tombstones [2014 film],/work/16837564,A Walk Among the Tombstones,/work/24565,1992,by Lawrence Block,1,-3.94,5,1
The Giver [2014 film],The Giver [2014 film],/work/15697816,The Giver,/work/9726954,1993,by Lois Lowry,1,-4.17,6,44
The November Man [2014 film],The November Man [2014 film],/work/15571642,There Are No Spies,/work/474525,,by Bill Granger,1,-3.5,9,1
Endless Love [2014 movie],Endless Love [2014 movie],/work/19801939,Endless Love,/work/71746,1979,by Scott Spencer,0,-3.46,6,4
Seventh Son [2014 film],Seventh Son [2014 film],/work/16510536,Revenge of the Witch,/work/8193712,2004,by Joseph Delaney,1,-3.85,12,5
This is Where I Leave You [2014 film],This is Where I Leave You [2014 film],/work/16474256,This Is Where I Leave You,/work/8372575,2009,by Jonathan Tropper,0,-3.84,19,3
The Best of Me [2014 film],The Best of Me [2014 film],/work/19563721,The Best of Me,/work/11107851,2011,by Nicholas Sparks,0,-3.68,2,1
Still Alice [2014 film],Still Alice [2014 film],/work/16570435,Still Alice,/work/4301018,2007,by Lisa Genova,0,-4.24,8,3
Left Behind [2014 film],Left Behind [2014 film],/work/16660187,Left Behind: A Novel of the Earth's Last Days,/work/909,,"by Tim LaHaye, Angela Elwell Hunt, Jerry B. Jenkins",1,-3.35,10,4
If I Stay,If I Stay,/work/7250107,,,,by Gayle Forman,1,-3.88,10,24
Addicted,Addicted,/work/8202034,,,,by Zane,0,-3.8,7,1
Before I Go to Sleep [2014 film],Before I Go to Sleep [2014 film],/work/18011068,Before I Go to Sleep,/work/10650990,2011,by S. J. Watson,0,-3.73,6,15
The Hundred-Foot Journey [2014 film],The Hundred-Foot Journey [2014 film],/work/16713660,The Hundred-Foot Journey,/work/9751827,2008,by Richard C. Morais,0,-3.46,2,1
The Homesman [2014 film],The Homesman [2014 film],/work/16429412,The Homesman: A Novel,/work/1648144,,by Glendon Swarthout,0,-3.87,1,2
Winter's Tale [2014 film],Winter's Tale [2014 film],/work/18459305,Winter's Tale,/work/7118,1983,by Mark Helprin,0,-4,16,5
A Most Wanted Man [2014 film],A Most Wanted Man [2014 film],/work/15466630,A Most Wanted Man,/work/5532612,2008,by John Le Carré,0,-3.47,11,3
Serena [2014 film],Serena [2014 film],/work/17635818,Serena,/work/5387906,2008,by Ron Rash,0,-3.69,4,6
Desde Que O Samba e Samba (Em Portugues do Brasil),Desde Que O Samba e Samba (Em Portugues do Brasil),/work/12501886,,,,by Paulo Lins,0,-4,1,1
A Long Way Down [2014 film],A Long Way Down [2014 film],/work/17283681,A Long Way Down,/work/7372,2005,by Nick Hornby,0,-3.46,8,2
The Two Faces of January [2014 film],The Two Faces of January [2014 film],/work/17049587,The Two Faces of January,/work/255302,1961,by Patricia Highsmith,0,-3.52,3,1
Atlas Shrugged: Who Is John Galt? [2014 film],Atlas Shrugged: Who Is John Galt? [2014 film],/work/26060241,Atlas Shrugged Part III,/work/16953804,,by Jim Manera,1,-1,1,1
The Humbling [2014 film],The Humbling [2014 film],/work/18722806,The Humbling,/work/8387740,2009,by Philip Roth,0,-3.21,3,1
Memories [1995 film],Memories [1995 film],/work/16612928,Memories [manga],/work/614063,1990,"by Katsuhiro Ōtomo, Katsuhiro Otomo",0,-4.05,1,1
The Great Gatsby [2013 film],The Great Gatsby [2013 film],/work/14005426,The Great Gatsby,/work/2964,1925,"by F. Scott Fitzgerald, Jane Pauley (Narrator), Maria Tsaneva (Illustrator)",0,-3.86,18,43
Carrie [2013 Film],Carrie [2013 Film],/work/15310679,Carrie,/work/12444,1974,by Stephen King,0,-3.73,8,10
Snowpiercer [2013 film],Snowpiercer [2013 film],/work/15368830,"Snowpiercer, Volume 1: The Escape",/work/14675532,1983,"by Jacques Lob, Jean-Marc Rochette (Illustrator)",1,-3.23,1,1
Under the skin [2013 film],Under the skin [2013 film],/work/25383046,Under the Skin,/work/14044,2000,by Michel Faber,0,-3.73,6,5
The Hunger Games: Catching Fire [2013 film],The Hunger Games: Catching Fire [2013 film],/work/14514700,Catching Fire,/work/8662515,,by Suzanne Collins,1,-4.18,42,17
World War Z [2013 film],World War Z [2013 film],/work/14625355,World War Z,/work/6426432,2006,by Max Brooks,0,-3.99,24,12
The Hobbit: The Desolation of Smaug [2013 film],The Hobbit: The Desolation of Smaug [2013 film],/work/14612536,The Hobbit,/work/3206242,1937,by J. R. R. Tolkien,1,-4.27,39,30
12 Years a Slave [2013 film],12 Years a Slave [2013 film],/work/14424088,Twelve Years a Slave,/work/331861,1853,by Solomon Northup,0,-4.2,1,1
Beautiful Creatures [2013 film],Beautiful Creatures [2013 film],/work/14407363,Beautiful Creatures,/work/8174366,,"by Kami Garcia, Margaret Stohl",1,-3.64,32,13
Warm Bodies [2013 film],Warm Bodies [2013 film],/work/14011559,Warm Bodies,/work/10473301,,by Isaac Marion,1,-3.86,5,1
Ender's Game [2013 film],Ender's Game [2013 film],/work/14932974,Ender's Game,/work/825739,1977,by Orson Scott Card,1,-4.31,25,23
The Mortal Instruments: City of Bones [2013 film],The Mortal Instruments: City of Bones [2013 film],/work/14541354,City of Bones,/work/8024489,,by Cassandra Clare,1,-3.86,11,11
Odd Thomas [2013 film],Odd Thomas [2013 film],/work/16890922,Odd Thomas,/work/4451,2003,by Dean Koontz,1,-3.99,11,1
Filth [2013 film],Filth [2013 film],/work/14771654,Filth,/work/5773,,by Irvine Welsh,0,-3.54,6,1
Percy Jackson: Sea of Monsters [2013 film],Percy Jackson: Sea of Monsters [2013 film],/work/14882535,The Sea of Monsters,/work/1491561,2006,by Rick Riordan,1,-4.09,63,7
The Host [2013 film],The Host [2013 film],/work/16735396,The Host: A Novel,/work/8300098,,by Stephenie Meyer,1,-3.91,10,7
The Family [2013 film],The Family [2013 film],/work/17242893,The Family,/work/83379,2001,by Mario Puzo,0,-3.34,5,1
The Book Thief [2013 film],The Book Thief [2013 film],/work/14868750,The Book Thief,/work/393681,2005,by Markus Zusak,0,-4.36,12,41
Safe Haven [2013 film],Safe Haven [2013 film],/work/14078313,Safe Haven,/work/9798423,2010,by Nicholas Sparks,0,-3.92,6,1
The Spectacular Now,The Spectacular Now,/work/5042460,,,,by Tim Tharp,0,-3.52,4,4
Paranoia [2013 film],Paranoia [2013 film],/work/19648017,Paranoia,/work/25779,2004,by Joseph Finder,0,-3.67,3,3
Hard to be a god,Hard to be a god,/work/3533838,,,1964,"by Arkady Strugatsky, Boris Strugatsky",1,-3.76,28,5
Admission [2013 film],Admission [2013 film],/work/17673076,Admission,/work/7789012,,by Jean Hanff Korelitz,0,-3.61,5,1
How I Live Now [2013 film],How I Live Now [2013 film],/work/16626105,How I Live Now,/work/23158,2004,by Meg Rosoff,0,-3.77,7,16
The Physician [2013 Film],The Physician [2013 Film],/work/15214200,The Physician,/work/189051,1986,by Noah Gordon,1,-4.17,1,3
Life of Crime [2013 film],Life of Crime [2013 film],/work/17716864,The Switch,/work/128319,1978,by Elmore Leonard,0,-3.75,2,1
Blood Ties [2013 film],Blood Ties [2013 film],/work/24114418,Blood Ties,/work/187777,1986,"by Robert Asprin (Editor), Lynn Abbey (Editor), Lynn Abbey (Editor), Lynn Abbey (Editor), Lynn Abbey (Editor)",1,-3.69,1,1
Adventurer: The Curse of the Midas Box [2013 film],Adventurer: The Curse of the Midas Box [2013 film],/work/16822011,The Adventurer: The Curse of the Midas Box,/work/25056928,,by Michael Sheen,0,,1,1
Syrup,Syrup,/work/189651,,,1999,by Maxx Barry,0,-3.79,4,1
Mr. Morgan's Last Love [2013 film],Mr. Morgan's Last Love [2013 film],/work/17431134,The Last Love,/work/293373,1963,by Thomas B. Costain,0,-4.2,1,1
As I Lay Dying,As I Lay Dying,/work/3360,,,1930,by William Faulkner,0,-3.89,17,16
Jack and the Cuckoo-Clock Heart,Jack and the Cuckoo-Clock Heart,/work/21738297,,,,by Mathias Malzieu,0,-3.5,1,1
Legends of Oz - Dorothy's Return [Blu-Ray DVD Digital HD],Legends of Oz - Dorothy's Return [Blu-Ray DVD Digital HD],/work/22567191,,,,,,,,
The German Doctor [2013 film],The German Doctor [2013 film],/work/20310557,The German Doctor,/work/15043181,,by Lucía Puenzo,0,-3.71,1,1
Alone Yet Not Alone: Their faith became their freedom,Alone Yet Not Alone: Their faith became their freedom,/work/2168511,,,,by Tracy Leininger Craven,0,-4,1,1
Black Nativity [2013 film],Black Nativity [2013 film],/work/14589571,Black Nativity,/work/5418693,,by Langston Hughes,0,-4,1,1
Victoria [2013 film],Victoria [2013 film],/work/13585246,Victoria,/work/81137,1898,by Knut Hamsun,0,-3.81,2,1
The Hunger Games [2012 film],The Hunger Games [2012 film],/work/12926399,The Hunger Games,/work/4979986,,by Suzanne Collins,1,-4.32,30,73
Cloud Atlas [2012 film],Cloud Atlas [2012 film],/work/13462108,Cloud Atlas,/work/3654,2004,by David Mitchell,0,-4.1,12,25
The Hobbit: An Unexpected Journey,The Hobbit: An Unexpected Journey,/work/13636004,The Hobbit,/work/3206242,1937,by J. R. R. Tolkien,1,-4.27,39,30
Les Misérables [2012 film],Les Misérables [2012 film],/work/13809637,Les Misérables,/work/19485,1862,"by Victor Hugo, Victor Hugo, Victor Hugo",0,-4.27,27,25
The Perks of Being a Wallflower [2012 film],The Perks of Being a Wallflower [2012 film],/work/13809050,The Perks of Being a Wallflower,/work/10482,,by Stephen Chbosky,0,-4.01,10,8
Jack Reacher [2012 film],Jack Reacher [2012 film],/work/13787729,One Shot,/work/156525,2005,by Lee Child,1,-3.96,21,3
Abraham Lincoln: Vampire Hunter [2012 film],Abraham Lincoln: Vampire Hunter [2012 film],/work/13819948,Abraham Lincoln: Vampire Hunter,/work/8931199,2010,by Seth Grahame-Smith,1,-3.56,29,1
