SearchTerm,Link1,AdaptationOf,Link2
Ender's Game [2013 film],/work/14932974,Ender's Game,/work/825739
The Mortal Instruments: City of Bones [2013 film],/work/14541354,City of Bones,/work/8024489
Homefront [2013 Film],/work/17845441,Homefront [2013 Film],/work/17845441
Oz: The Great and Powerful [2013 film],/work/13945685,Oz: The Great and Powerful [2013 film],/work/13945685
Odd Thomas [2013 film],/work/16890922,Odd Thomas,/work/4451
Filth [2013 film],/work/14771654,Filth,/work/5773
Percy Jackson: Sea of Monsters [2013 film],/work/14882535,The Sea of Monsters,/work/1491561
The Host [2013 film],/work/16735396,The Host: A Novel,/work/8300098
The Family [2013 film],/work/17242893,The Family,/work/83379
Parker [2013 film],/work/16653791,Parker [2013 film],/work/16653791
The Book Thief [2013 film],/work/14868750,The Book Thief,/work/393681
Safe Haven [2013 film],/work/14078313,Safe Haven,/work/9798423
The Spectacular Now,/work/5042460,,
Paranoia [2013 film],/work/19648017,Paranoia,/work/25779
Hard to be a god,/work/3533838,,
Admission [2013 film],/work/17673076,Admission,/work/7789012
How I Live Now [2013 film],/work/16626105,How I Live Now,/work/23158
Labor Day [2013 film],/work/15002267,Labor Day [2013 film],/work/15002267
The Physician [2013 Film],/work/15214200,The Physician,/work/189051
Life of Crime [2013 film],/work/17716864,The Switch,/work/128319
The Young and Prodigious T.S. Spivet [2013 film],/work/16694812,The Young and Prodigious T.S. Spivet [2013 film],/work/16694812
Blood Ties [2013 film],/work/24114418,Blood Ties,/work/187777
Adventurer: The Curse of the Midas Box [2013 film],/work/16822011,The Adventurer: The Curse of the Midas Box,/work/25056928
Syrup,/work/189651,,
Mr. Morgan's Last Love [2013 film],/work/17431134,The Last Love,/work/293373
As I Lay Dying,/work/3360,,
Jack and the Cuckoo-Clock Heart,/work/21738297,,
Legends of Oz - Dorothy's Return [Blu-Ray DVD Digital HD],/work/22567191,,
The German Doctor [2013 film],/work/20310557,The German Doctor,/work/15043181
Alone Yet Not Alone: Their faith became their freedom,/work/2168511,,
Black Nativity [2013 film],/work/14589571,Black Nativity,/work/5418693
Victoria [2013 film],/work/13585246,Victoria,/work/81137
The Hunger Games [2012 film],/work/12926399,The Hunger Games,/work/4979986
Cloud Atlas [2012 film],/work/13462108,Cloud Atlas,/work/3654
The Hobbit: An Unexpected Journey,/work/13636004,The Hobbit,/work/3206242
The Twilight Saga: Breaking Dawn - Part 2 [2012 film],/work/13642818,The Twilight Saga: Breaking Dawn - Part 2 [2012 film],/work/13642818
Les Misérables [2012 film],/work/13809637,Les Misérables,/work/19485
The Perks of Being a Wallflower [2012 film],/work/13809050,The Perks of Being a Wallflower,/work/10482
Jack Reacher [2012 film],/work/13787729,One Shot,/work/156525
Abraham Lincoln: Vampire Hunter [2012 film],/work/13819948,Abraham Lincoln: Vampire Hunter,/work/8931199
John Carter [2012 film],/work/12783754,A Princess of Mars,/work/82902
Journey 2: The Mysterious Island [2012 film],/work/12621654,The Mysterious Island,/work/183845
The Woman in Black [2012 film],/work/12997663,The Woman in Black,/work/63662
Life of Pi [2012 film],/work/13360628,Life of Pi,/work/5197633
Lawless [2012 film],/work/15469312,The Wettest County in the World,/work/5679254
Anna Karenina [2012 film],/work/14327781,Anna Karenina,/work/2340
Savages [2012 film],/work/16370115,Savages,/work/179668
Killing Them Softly [2012 film],/work/13545750,Killing Them Softly [2012 film],/work/13545750
Diary of a Wimpy Kid: Dog Days [2012 film],/work/17253228,Diary of a Wimpy Kid: Dog Days,/work/8789607
The Lucky One [2012 film],/work/16767390,The Lucky One,/work/5304078
On the Road [2012 film],/work/13040260,On the Road,/work/3207
Cosmopolis [2012 film],/work/13997123,Cosmopolis,/work/971270
The Paperboy [2012 film],/work/11525845,The Paperboy,/work/41406
One for the Money [2012 film],/work/14388331,One for the Money,/work/9759186
Alex Cross [2012 film],/work/13526065,Cross,/work/993429
The Company You Keep [2012 film],/work/14914134,The Company You Keep,/work/348044
What Maisie Knew [2012 film],/work/14342569,What Maisie Knew,/work/19973
Atlas Shrugged II: The Strike [2012 movie],/work/13599913,,
Come Out and Play (It's a Kid's World),/work/5529001,,
La Vida Precoz y Breve de Sabina Rivas,/work/15079585,,
A.C.A.B.: All Cops Are Bastards {Movie},/work/13186031,,
Thérèse Desqueyroux [2012 film],/work/22161989,Thérèse Raquin,/work/1536
Les Liaisons Dangereuses,/work/32388,,
Blue Like Jazz,/work/4121,,
Another Women's Life [2012 film],/work/13629324,,
The Spy: A Tale of the Neutral Ground,/work/359702,,
Harry Potter and the Deathly Hallows: Part 2 [2011 film],/work/11749612,Harry Potter and the Deathly Hallows,/work/3577382
The Girl with the Dragon Tattoo [2011 film],/work/12479303,The Girl with the Dragon Tattoo,/work/1541442
Drive [2011 film],/work/12361579,Drive: The Surprising Truth About What Motivates Us,/work/8891693
Something Borrowed [2011 film],/work/12899728,Something Borrowed,/work/21617
The Help [2011 film],/work/12207641,The Help,/work/8019757
The Lincoln Lawyer [2011 film],/work/11584272,The Lincoln Lawyer,/work/25501
Pirates of the Caribbean: On Stranger Tides [2011 film],/work/11833808,Pirates of the Caribbean: On Stranger Tides [2011 film],/work/11833808
I Am Number Four,/work/9835425,,
We Need to Talk About Kevin [2011 film],/work/17051694,We Need to Talk about Kevin,/work/8282
Hugo [2011 film],/work/12357429,The Invention of Hugo Cabret,/work/1729243
Limitless [2011 film],/work/11623548,Limitless [2011 film],/work/11623548
The Twilight Saga: Breaking Dawn - Part 1 [2011 film],/work/12336112,The Twilight Saga: Breaking Dawn - Part 1 [2011 film],/work/12336112
One Day [2011 film],/work/16539213,One Day,/work/8101931
What's Your Number? [2011 film],/work/17018398,What's Your Number? [2011 film],/work/17018398
Sherlock Holmes: A Game of Shadows [2011 film],/work/12053405,Sherlock Holmes: A Game of Shadows [2011 film],/work/12053405
The Descendants [2011 film],/work/12479306,The Descendants,/work/2499168
The Three Musketeers [2011 film],/work/12335761,The Three Musketeers,/work/3745066
Conan the Barbarian [2011 film],/work/14543505,Conan The Barbarian,/work/501367
The Best Exotic Marigold Hotel [2011 film],/work/12825640,These Foolish Things,/work/8278
Unknown [2011 film],/work/15925760,Hors de moi,/work/1391861
Priest [2011 film],/work/14414162,Priest [1994 film],/work/4195814
War Horse [2011 film],/work/12122122,War Horse,/work/696577
Diary of a Wimpy Kid: Rodrick Rules,/work/5145202,,
Water for Elephants [2011 film],/work/12073931,Water for Elephants,/work/522063
Monte Carlo [2011 film],/work/17039937,Monte Carlo [2011 film],/work/17039937
Extremely Loud and Incredibly Close,/work/5123,Extremely Loud and Incredibly Close,/work/5123
Beastly [2011 film],/work/13200804,Beastly,/work/5141188
The Rum Diary,/work/15673859,The Rum Diary : A Novel,/work/3313427
Killer Elite [2011 film],/work/12211877,The Feather Men,/work/450587
The Eagle {2011 film},/work/10694838,The Eagle of the Ninth,/work/10028
Mr. Popper's Penguins [2011 film],/work/14461889,Mr. Popper's Penguins,/work/33809
Atlas Shrugged: Part One,/work/16647950,,
The Devil's Double [2011 film],/work/18132799,The Devil's Double [2011 film],/work/18132799
The Flowers of War [2011 film],/work/15812318,The War of the Flowers,/work/45618
Red Dog [2011 film],/work/27101199,Red Dog,/work/9973
3-D Sex and Zen: Extreme Ecstasy,,,
You are the Apple of My Eye (China Version),/work/17840089,,
Snow Flower and the Secret Fan [2011 film],/work/15524618,Snow Flower and the Secret Fan,/work/20106
You and I [2011 film],/work/17271230,I Am America (And So Can You!),/work/3093980
Salvation Boulevard: A Novel,/work/6215601,,
Homo Zapiens,/work/23647,,
Shutter Island [2010 film],/work/5487664,Shutter Island,/work/13697
The Social Network [2010 film],/work/11002467,The Social Network [2010 film],/work/11002467
The Town [2010 film],/work/10787782,The Town [2010 film],/work/10787782
Alice in Wonderland [2010 film],/work/10015891,Alice's Adventures in Wonderland,/work/8288
True Grit [2010 film],/work/11793033,True Grit,/work/3742863
Let Me In [2010 film],/work/14352846,Let The Right One In,/work/662641
The Lightning Thief,/work/173670,The Lightning Thief,/work/173670
How to Train Your Dragon [2010 film],/work/10544532,How to Train Your Dragon,/work/1642
The Twilight Saga: Eclipse [2010 film],/work/11504863,Eclipse,/work/8461488
Diary of a Wimpy Kid [2010 film],/work/11939276,Diary of a Wimpy Kid,/work/14038411
The Chronicles of Narnia: The Voyage of the Dawn Treader [2010 film],/work/11184889,The Voyage of the Dawn Treader,/work/1182720
Never Let Me Go [2010 film],/work/11705932,Never Let Me Go,/work/7244
Flipped [2010 film],/work/13076936,Flipped,/work/3032091
Eat Pray Love [2010 film],/work/11067936,"Eat, Pray, Love",/work/654973
Winter's Bone [2010 film],/work/11659176,Winter's Bone,/work/325488
It's Kind of a Funny Story [2010 film],/work/17034045,It's Kind of a Funny Story,/work/337509
The American [2010 film],/work/10990158,The American,/work/28852
Dear John [2010 film],/work/8467149,Dear John,/work/1556319
The Ghost Writer [2010 film],/work/11680145,The Ghost Writer,/work/7251
The Secret World of Arrietty [2010 film],/work/14686161,The Borrowers,/work/34289
Ramona and Beezus [2010 film],/work/16455838,Beezus and Ramona,/work/2236378
The Last Song [2010 film],/work/14746940,The Last Song,/work/8221836
Legend of the Guardians: The Owls of Ga'Hoole [2010 film],/work/16651790,The Capture,/work/96135
Gulliver's Travels [2010 film],/work/13321924,Gulliver's Travels,/work/3373
Green Zone [2010 film],/work/9613388,Green Zone [2010 film],/work/9613388
Twelve [2010 film],/work/17357315,Twelve,/work/151853
Repo Men [2010 film],/work/10544769,Repo Men [2010 film],/work/10544769
The Experiment,/work/358875,,
The Killer Inside Me [2010 film],/work/13758458,The Killer Inside Me,/work/2144
Charlie St. Cloud [2010 film],/work/11682694,Charlie St. Cloud,/work/4967722
"Tomorrow, When the War Began",/work/112269,,
Barney's Version [2010 film],/work/11345059,Barney's Version,/work/29158
London Boulevard [2010 film],/work/12746010,London Boulevard,/work/8301585
7 Days,/work/17026649,,
Brighton Rock [2010 film],/work/16616844,Brighton Rock,/work/7137
Spud,/work/1629281,,
Oranges and Sunshine [2010 film],/work/11584344,Oranges and Sunshine [2010 film],/work/11584344
The extra man,/work/71572,,
Radio Free Albemuth [2010 film],/work/17266827,Radio Free Albemuth,/work/6905762
Blood Done Sign My Name,/work/12730,,
Ways To Live Forever,/work/7499542,,
Gigola (French Edition),/work/11338868,,
400 Contra 1: Uma História do Crime Organizado,,,
Coraline [2009 animated film],/work/9400319,Coraline,/work/4183
Watchmen [2009 Theatrical Cut],/work/8640254,Watchmen,/work/7233
Harry Potter and the Half-Blood Prince [2009 film],/work/9247113,Harry Potter and the Half-Blood Prince,/work/1133624
Fantastic Mr. Fox {2009 film},/work/9333649,Fantastic Mr. Fox,/work/6446
Sherlock Holmes [2009 film],/work/9768880,The Complete Sherlock Holmes,/work/24420
The Lovely Bones [2009 film],/work/11395974,The Lovely Bones,/work/4931
The Girl with the Dragon Tattoo [2009 film],/work/11108345,The Girl with the Dragon Tattoo,/work/1541442
Angels & Demons,/work/1116874,Angels & Demons,/work/1116874
The Princess and the Frog [2009 animated film],/work/9734509,The Princess and the Frog [2009 animated film],/work/9734509
The Twilight Saga: New Moon [2009 film],/work/11118736,New Moon,/work/2299193
The Road [2009 film],/work/10224090,The Road,/work/1222607
Up in the Air [2009 film],/work/4791742,Up in the Air,/work/108871
The Secret In Their Eyes [2009 film],/work/9952593,The Secret in Their Eyes,/work/8816389
Dragonball Evolution [2009 film],/work/13513155,Dragonball Evolution [2009 film],/work/13513155
Crazy Heart [2009 film],/work/15811928,Crazy Heart [2009 film],/work/15811928
A Single Man [2009 film],/work/10066628,A Single Man,/work/96993
My Sister's Keeper [2009 film],/work/10242835,My Sister's Keeper,/work/12466
Precious [2009 film],/work/10272293,Push,/work/124712
Cirque du Freak: The Vampire's Assistant [2009 film],/work/11325896,Cirque du Freak: A Living Nightmare,/work/220546
The Time Traveler's Wife [2009 film],/work/9788782,The Time Traveler's Wife,/work/3067
Race to Witch Mountain [2009 film],/work/8905701,Race to Witch Mountain [2009 film],/work/8905701
Disney's A Christmas Carol [2009 film],/work/12030767,A Christmas Carol,/work/1549
The Taking of Pelham 1 2 3 [2009 film],/work/9876277,The Taking of Pelham One Two Three,/work/357343
"I Love You, Beth Cooper [2009 film]",/work/12516331,"I Love You, Beth Cooper",/work/2361677
Whip It [2009 film],/work/8941524,Derby Girl,/work/3416802
The Informant! [2009 film],/work/10583590,The Informant: A True Story,/work/252517
Youth In Revolt [2009 film],/work/9491839,Youth in Revolt,/work/27244
Beautiful Kate [2009 film],/work/21525866,Beautiful Disaster,/work/8461381
Hotel for Dogs [2009 film],/work/16668643,Hotel For Dogs,/work/1221112
Chéri [2009 film],/work/10415040,Chéri / The Last of Chéri,/work/101906
The Damned United [2009 film],/work/9365859,The Damned United [2009 film],/work/9365859
The Last Station [2009 film],/work/11002936,The Last Station: A Novel of Tolstoy's Final Year,/work/413541
Veronika Decides To Die [2009 film],/work/10882149,Veronika Decides to Die,/work/39225
Boogie Woogie,/work/3288326,,
Walled in Light: Saint Colette,/work/4867294,,
Dark Country [2009 film],/work/13103144,The dark country,/work/919616
The City of Your Final Destination [2009 film],/work/13289030,The City of Your Final Destination,/work/177342
A Clean Kill in Tokyo,/work/43350,,
Not Easily Broken [2009 film],/work/19461496,Not Easily Broken: A Novel,/work/1766008
The Cry of the Owl,/work/171179,,
The Last Ride,/work/563222,,
Taras Bulba,/work/192404,,
Like Dandelion Dust [2009 film],/work/12276279,Like Dandelion Dust,/work/1187333
The Bible: In Contemporary Language: The Message,/work/38190,,
Tsurugidake: Ten no ki,,,
Twilight [2008 film],/work/8161517,Twilight,/work/8384326
The Boy in the Striped Pajamas [2008 film],/work/9302941,The Boy in the Striped Pajamas,/work/383608
The Reader [2008 film],/work/8681291,The Reader,/work/4682
Body of Lies [2008 film],/work/11338188,Body of Lies,/work/2346653
Jumper [2008 film],/work/5717378,Jumper,/work/23084
Let the Right One In [2008 film],/work/9461082,Let The Right One In,/work/662641
Slumdog Millionaire [2008 film],/work/7631625,Q & A,/work/146723
Revolutionary Road [2008 film],/work/10238093,Revolutionary Road,/work/10122
The Ruins [2008 Film],/work/17769885,The Ruins,/work/689300
Journey to the Center of the Earth [2008 film],/work/7143982,Journey to the Center of the Earth,/work/41564
The Chronicles of Narnia: Prince Caspian [2008 film],/work/7691813,Prince Caspian,/work/6954108
