title,description,contributor,author,contributor_note,price,age_group,publisher,isbns,ranks_history,reviews
"NO PAIN, NO GAINES",,by Chip Gaines,Chip Gaines,,0.00,,Thomas Nelson,"[{'isbn10': '0785237917', 'isbn13': '9780785237914'}]","[{'primary_isbn10': '0785237917', 'primary_isbn13': '9780785237914', 'rank': 10, 'list_name': 'Advice How-To and Miscellaneous', 'display_name': 'Advice, How-To & Miscellaneous', 'published_date': '2021-04-04', 'bestsellers_date': '2021-03-20', 'weeks_on_list': 1, 'rank_last_week': 0, 'asterisk': 0, 'dagger': 1}]","[{'book_review_link': '', 'first_chapter_link': '', 'sunday_review_link': '', 'article_chapter_link': ''}]"
"No Peace, No Honor: Nixon, Kissinger, and Betrayal in Vietnam",,,Larry Berman,,0.00,,,"[{'isbn10': '0684849682', 'isbn13': '9780684849683'}]",[],"[{'book_review_link': '', 'first_chapter_link': None, 'sunday_review_link': 'https://www.nytimes.com/2001/08/12/books/read-their-lips.html', 'article_chapter_link': None}]"
"No Picnic on Mount Kenya: A Daring Escape, A Perilous Climb",,,Felice Benuzzi,,0.00,,,"[{'isbn10': '1592287247', 'isbn13': '9781592287246'}]",[],"[{'book_review_link': '', 'first_chapter_link': None, 'sunday_review_link': 'https://www.nytimes.com/1999/06/27/books/new-noteworthy-paperbacks-224170.html', 'article_chapter_link': None}]"
No Place for a Woman: A Life of Senator Margaret Chase Smith (Rutgers Series on Women and Politics),,,Janann Sherman,,0.00,,,"[{'isbn10': '0813527228', 'isbn13': '9780813527222'}]",[],"[{'book_review_link': '', 'first_chapter_link': None, 'sunday_review_link': 'https://www.nytimes.com/2000/02/06/books/breaking-into-the-club.html', 'article_chapter_link': None}]"
No Place Like Utopia: Modern Architecture and the Company We Kept,,,Peter Blake,,0.00,,,"[{'isbn10': '0394548965', 'isbn13': '9780394548968'}]",[],"[{'book_review_link': '', 'first_chapter_link': None, 'sunday_review_link': 'https://www.nytimes.com/1993/11/21/books/dreams-of-stone-and-glass.html', 'article_chapter_link': None}]"
No Place to Hide,,,Robert O'Harrow Jr.,,0.00,,,"[{'isbn10': '0743287053', 'isbn13': '9780743287050'}]",[],"[{'book_review_link': 'https://www.nytimes.com/2005/04/10/books/review/goodbye-to-privacy.html', 'first_chapter_link': None, 'sunday_review_link': '', 'article_chapter_link': None}]"
NO PLACE TO HIDE,"The journalist, part of the Guardian team that won a 2014  Pulitzer Prize, presents new material about N.S.A. surveillance and describes his work with Edward Snowden.",by Glenn Greenwald,Glenn Greenwald,,0.00,,Metropolitan/Holt,"[{'isbn10': '162779073X', 'isbn13': '9781627790734'}, {'isbn10': '1627790748', 'isbn13': '9781627790741'}]",[],"[{'book_review_link': '', 'first_chapter_link': '', 'sunday_review_link': 'https://www.nytimes.com/2014/06/08/books/review/no-place-to-hide-by-glenn-greenwald.html', 'article_chapter_link': ''}]"
NO PLACE TO RUN,"Sam Kelly, part of an elite, family-run task force, struggles to protect a woman and their unborn child from her dark past.",by Maya Banks,Maya Banks,,7.99,,Berkley,"[{'isbn10': '0425238199', 'isbn13': '9780425238196'}]",[],"[{'book_review_link': '', 'first_chapter_link': '', 'sunday_review_link': '', 'article_chapter_link': ''}]"
Savage Art: A  Biography of Jim Thompson,,,Robert Polito,,0.00,,,"[{'isbn10': '0679733523', 'isbn13': '9780679733522'}]",[],"[{'book_review_link': '', 'first_chapter_link': None, 'sunday_review_link': 'https://www.nytimes.com/1997/01/19/books/new-noteworthy-paperbacks-110477.html', 'article_chapter_link': None}]"
Savage Beauty: The Life of Edna St. Vincent Millay,,,Nancy Milford,,0.00,,,"[{'isbn10': '0375760814', 'isbn13': '9780375760815'}]",[],"[{'book_review_link': '', 'first_chapter_link': None, 'sunday_review_link': 'https://www.nytimes.com/2001/09/16/books/like-a-moth-to-the-flame.html', 'article_chapter_link': None}]"
SAVAGE HARVEST,"In 1961, on a collecting mission for the Museum of Primitive Art, Michael C. Rockefeller vanished off the coast of southwest New Guinea when his boat capsized.",by Carl Hoffman,Carl Hoffman,,0.00,,Morrow,"[{'isbn10': '0062116150', 'isbn13': '9780062116154'}, {'isbn10': '0062116169', 'isbn13': '9780062116161'}]",[],"[{'book_review_link': '', 'first_chapter_link': '', 'sunday_review_link': 'https://www.nytimes.com/2014/04/06/books/review/savage-harvest-by-carl-hoffman.html', 'article_chapter_link': ''}]"
Savage Inequalities: Children in America's Schools,,,Jonathan Kozol,,0.00,,,"[{'isbn10': '0770435688', 'isbn13': '9780770435684'}]",[],"[{'book_review_link': '', 'first_chapter_link': None, 'sunday_review_link': 'https://www.nytimes.com/1991/10/06/books/why-the-rich-get-smarter.html', 'article_chapter_link': None}]"
SAVAGE NATURE,"In the Louisiana bayou near her home, Saria Boudreaux finds a corpse that appears to have been mauled — and her brothers are all shape-shifting leopards.",by Christine Feehan,Christine Feehan,,0.00,,Jove,"[{'isbn10': '0515149330', 'isbn13': '9780515149333'}]",[],"[{'book_review_link': '', 'first_chapter_link': '', 'sunday_review_link': '', 'article_chapter_link': ''}]"
SAVAGE PRINCE,The first book in the Savage trilogy.,by Meghan March,Meghan March,,0.00,,Red Dress,"[{'isbn10': '1943796068', 'isbn13': '9781943796069'}]","[{'primary_isbn10': '1943796068', 'primary_isbn13': '9781943796069', 'rank': 14, 'list_name': 'Combined Print and E-Book Fiction', 'display_name': 'Combined Print & E-Book Fiction', 'published_date': '2018-04-15', 'bestsellers_date': '2018-03-31', 'weeks_on_list': 1, 'rank_last_week': 0, 'asterisk': 0, 'dagger': 0}]","[{'book_review_link': '', 'first_chapter_link': '', 'sunday_review_link': '', 'article_chapter_link': ''}]"
"Savage Reprisals: Bleak House, Madame Bovary, Buddenbrooks",,,Peter Gay,,0.00,,,"[{'isbn10': '0393051188', 'isbn13': '9780393051186'}]",[],"[{'book_review_link': '', 'first_chapter_link': None, 'sunday_review_link': 'https://www.nytimes.com/2002/08/04/books/don-t-get-mad-write-novels.html', 'article_chapter_link': None}]"
Savage Run: A Joe Pickett Novel,,,C. J. Box,,0.00,,,"[{'isbn10': '0425189244', 'isbn13': '9780425189245'}]",[],"[{'book_review_link': '', 'first_chapter_link': None, 'sunday_review_link': 'https://www.nytimes.com/2002/08/25/books/murder-she-mooed.html', 'article_chapter_link': None}]"
Savage Shorthand: The Life and Death of Isaac Babel,,,Jerome Charyn,,0.00,,,"[{'isbn10': '0679643060', 'isbn13': '9780679643067'}]",[],"[{'book_review_link': '', 'first_chapter_link': None, 'sunday_review_link': 'https://www.nytimes.com/2006/01/01/books/review/01campbell.html', 'article_chapter_link': None}]"
SAVAGE SON,The third book in the Terminal List series. The Russian mafia targets a former Navy SEAL who is recovering from brain surgery.,by Jack Carr,Jack Carr,,0.00,,Emily Bestler/Atria,"[{'isbn10': '1982123702', 'isbn13': '9781982123703'}, {'isbn10': '1982123729', 'isbn13': '9781982123727'}, {'isbn10': '1508299617', 'isbn13': '9781508299615'}]","[{'primary_isbn10': '', 'primary_isbn13': '9781508299622', 'rank': 13, 'list_name': 'Audio Fiction', 'display_name': 'Audio Fiction', 'published_date': '2020-06-14', 'bestsellers_date': '2020-05-30', 'weeks_on_list': 0, 'rank_last_week': 14, 'asterisk': 0, 'dagger': 0}, {'primary_isbn10': '', 'primary_isbn13': '9781508299622', 'rank': 14, 'list_name': 'Audio Fiction', 'display_name': 'Audio Fiction', 'published_date': '2020-05-17', 'bestsellers_date': '2020-05-02', 'weeks_on_list': 0, 'rank_last_week': 0, 'asterisk': 0, 'dagger': 0}, {'primary_isbn10': '1982123702', 'primary_isbn13': '9781982123703', 'rank': 13, 'list_name': 'Hardcover Fiction', 'display_name': 'Hardcover Fiction', 'published_date': '2020-05-03', 'bestsellers_date': '2020-04-18', 'weeks_on_list': 1, 'rank_last_week': 0, 'asterisk': 0, 'dagger': 0}, {'primary_isbn10': '1982123729', 'primary_isbn13': '9781982123727', 'rank': 10, 'list_name': 'Combined Print and E-Book Fiction', 'display_name': 'Combined Print & E-Book Fiction', 'published_date': '2020-05-03', 'bestsellers_date': '2020-04-18', 'weeks_on_list': 1, 'rank_last_week': 0, 'asterisk': 0, 'dagger': 0}]","[{'book_review_link': '', 'first_chapter_link': '', 'sunday_review_link': '', 'article_chapter_link': ''}]"
"Savage Sword of Conan, Vol. 5",The barbarian becomes the liberator of the Aquilonia kingdom in this collection of adventures.,by Roy Thomas and various,Roy Thomas and various,,17.95,,Dark Horse,[],[],"[{'book_review_link': '', 'first_chapter_link': '', 'sunday_review_link': '', 'article_chapter_link': ''}]"
SAVAGES,,by Don Winslow,Don Winslow,,0.00,,Simon & Schuster,"[{'isbn10': '1439183368', 'isbn13': '9781439183366'}, {'isbn10': '1451667159', 'isbn13': '9781451667158'}, {'isbn10': '1439183376', 'isbn13': '9781439183373'}]",[],"[{'book_review_link': 'https://www.nytimes.com/2012/06/18/books/the-kings-of-cool-by-don-winslow.html', 'first_chapter_link': '', 'sunday_review_link': '', 'article_chapter_link': ''}]"
SAVE ME,A mother’s action during a school emergency causes an uproar in her idyllic suburban community.,by Lisa Scottoline,Lisa Scottoline,,0.00,,St. Martin’s Griffin,"[{'isbn10': '031238078X', 'isbn13': '9780312380786'}, {'isbn10': '1429959797', 'isbn13': '9781429959797'}, {'isbn10': '0312380798', 'isbn13': '9780312380793'}]",[],"[{'book_review_link': '', 'first_chapter_link': '', 'sunday_review_link': 'https://www.nytimes.com/2011/04/24/books/review/book-review-save-me-by-lisa-scottoline.html', 'article_chapter_link': ''}]"
SAVE ME THE PLUMS,A memoir by the former restaurant critic of The New York Times and editor in chief of Gourmet.,by Ruth Reichl,Ruth Reichl,,0.00,,Random House,"[{'isbn10': '1400069998', 'isbn13': '9781400069996'}, {'isbn10': '0679605231', 'isbn13': '9780679605232'}]","[{'primary_isbn10': '1400069998', 'primary_isbn13': '9781400069996', 'rank': 12, 'list_name': 'Hardcover Nonfiction', 'display_name': 'Hardcover Nonfiction', 'published_date': '2019-05-12', 'bestsellers_date': '2019-04-27', 'weeks_on_list': 3, 'rank_last_week': 8, 'asterisk': 0, 'dagger': 0}, {'primary_isbn10': '1400069998', 'primary_isbn13': '9781400069996', 'rank': 15, 'list_name': 'Combined Print and E-Book Nonfiction', 'display_name': 'Combined Print & E-Book Nonfiction', 'published_date': '2019-05-12', 'bestsellers_date': '2019-04-27', 'weeks_on_list': 4, 'rank_last_week': 9, 'asterisk': 0, 'dagger': 0}, {'primary_isbn10': '1400069998', 'primary_isbn13': '9781400069996', 'rank': 9, 'list_name': 'Combined Print and E-Book Nonfiction', 'display_name': 'Combined Print & E-Book Nonfiction', 'published_date': '2019-05-05', 'bestsellers_date': '2019-04-20', 'weeks_on_list': 3, 'rank_last_week': 11, 'asterisk': 0, 'dagger': 0}, {'primary_isbn10': '1400069998', 'primary_isbn13': '9781400069996', 'rank': 8, 'list_name': 'Hardcover Nonfiction', 'display_name': 'Hardcover Nonfiction', 'published_date': '2019-05-05', 'bestsellers_date': '2019-04-20', 'weeks_on_list': 2, 'rank_last_week': 10, 'asterisk': 0, 'dagger': 0}, {'primary_isbn10': '1400069998', 'primary_isbn13': '9781400069996', 'rank': 10, 'list_name': 'Hardcover Nonfiction', 'display_name': 'Hardcover Nonfiction', 'published_date': '2019-04-28', 'bestsellers_date': '2019-04-13', 'weeks_on_list': 1, 'rank_last_week': 0, 'asterisk': 0, 'dagger': 0}, {'primary_isbn10': '1400069998', 'primary_isbn13': '9781400069996', 'rank': 11, 'list_name': 'Combined Print and E-Book Nonfiction', 'display_name': 'Combined Print & E-Book Nonfiction', 'published_date': '2019-04-28', 'bestsellers_date': '2019-04-13', 'weeks_on_list': 2, 'rank_last_week': 15, 'asterisk': 0, 'dagger': 0}, {'primary_isbn10': '1400069998', 'primary_isbn13': '9781400069996', 'rank': 15, 'list_name': 'Combined Print and E-Book Nonfiction', 'display_name': 'Combined Print & E-Book Nonfiction', 'published_date': '2019-04-21', 'bestsellers_date': '2019-04-06', 'weeks_on_list': 1, 'rank_last_week': 0, 'asterisk': 0, 'dagger': 0}]","[{'book_review_link': 'https://www.nytimes.com/2019/04/09/books/review/ruth-reichl-save-me-the-plums.html', 'first_chapter_link': '', 'sunday_review_link': '', 'article_chapter_link': ''}]"
SAVE THE DATE,"A wedding florist tries to shore up her career with Savannah’s society event of the season. But she has competition, and other complications.",by Mary Kay Andrews,Mary Kay Andrews,,0.00,,St. Martin's,"[{'isbn10': '1250019699', 'isbn13': '9781250019691'}]",[],"[{'book_review_link': '', 'first_chapter_link': '', 'sunday_review_link': '', 'article_chapter_link': ''}]"
SAVE THE DATE,Charlie Grant tries to avoid disasters when her family comes together for her sister's wedding.,by Morgan Matson,Morgan Matson,,0.00,,Simon & Schuster,"[{'isbn10': '1481404571', 'isbn13': '9781481404570'}, {'isbn10': '1534438300', 'isbn13': '9781534438309'}]","[{'primary_isbn10': '1481404571', 'primary_isbn13': '9781481404570', 'rank': 9, 'list_name': 'Young Adult Hardcover', 'display_name': 'Young Adult Hardcover', 'published_date': '2018-07-08', 'bestsellers_date': '2018-06-23', 'weeks_on_list': 3, 'rank_last_week': 5, 'asterisk': 0, 'dagger': 0}, {'primary_isbn10': 'None', 'primary_isbn13': '9781534431430', 'rank': 5, 'list_name': 'Young Adult Hardcover', 'display_name': 'Young Adult Hardcover', 'published_date': '2018-07-01', 'bestsellers_date': '2018-06-16', 'weeks_on_list': 2, 'rank_last_week': 5, 'asterisk': 0, 'dagger': 0}, {'primary_isbn10': '1481404571', 'primary_isbn13': '9781481404570', 'rank': 5, 'list_name': 'Young Adult Hardcover', 'display_name': 'Young Adult Hardcover', 'published_date': '2018-06-24', 'bestsellers_date': '2018-06-09', 'weeks_on_list': 1, 'rank_last_week': 0, 'asterisk': 0, 'dagger': 0}]","[{'book_review_link': '', 'first_chapter_link': '', 'sunday_review_link': '', 'article_chapter_link': ''}]"
"SAVED BY THE RANCHER, BOOK 1","Jenna Caldwell Merrick, a woman on the run from her abusive ex-husband, is rescued by the rancher Jack Turner. The first book in the Hunted series.",by Jennifer Ryan,Jennifer Ryan,,0.00,,Avon Impulse,[],[],"[{'book_review_link': '', 'first_chapter_link': '', 'sunday_review_link': '', 'article_chapter_link': ''}]"
Saving Agnes: A Novel,,,Rachel Cusk,,0.00,,,"[{'isbn10': '031227193X', 'isbn13': '9780312271930'}]",[],"[{'book_review_link': '', 'first_chapter_link': None, 'sunday_review_link': 'https://www.nytimes.com/2000/04/16/books/swf-seeks-anybody.html', 'article_chapter_link': None}]"
SAVING CAPITALISM,"The former secretary of labor in the Clinton administration, now a professor of public policy, considers how to reverse income inequality.",by Robert B. Reich,Robert B Reich,,0.00,,Knopf,"[{'isbn10': '0385350570', 'isbn13': '9780385350570'}, {'isbn10': '0385350589', 'isbn13': '9780385350587'}]","[{'primary_isbn10': '0385350570', 'primary_isbn13': '9780385350570', 'rank': 8, 'list_name': 'Hardcover Political Books', 'display_name': 'Politics and American History', 'published_date': '2015-11-15', 'bestsellers_date': '2015-10-31', 'weeks_on_list': 0, 'rank_last_week': 0, 'asterisk': 0, 'dagger': 0}, {'primary_isbn10': '0385350570', 'primary_isbn13': '9780385350570', 'rank': 19, 'list_name': 'Hardcover Nonfiction', 'display_name': 'Hardcover Nonfiction', 'published_date': '2015-11-08', 'bestsellers_date': '2015-10-24', 'weeks_on_list': 0, 'rank_last_week': 0, 'asterisk': 0, 'dagger': 0}, {'primary_isbn10': '0385350570', 'primary_isbn13': '9780385350570', 'rank': 19, 'list_name': 'Hardcover Nonfiction', 'display_name': 'Hardcover Nonfiction', 'published_date': '2015-11-01', 'bestsellers_date': '2015-10-17', 'weeks_on_list': 0, 'rank_last_week': 0, 'asterisk': 0, 'dagger': 0}, {'primary_isbn10': '0385350570', 'primary_isbn13': '9780385350570', 'rank': 12, 'list_name': 'Hardcover Nonfiction', 'display_name': 'Hardcover Nonfiction', 'published_date': '2015-10-25', 'bestsellers_date': '2015-10-10', 'weeks_on_list': 2, 'rank_last_week': 8, 'asterisk': 0, 'dagger': 0}, {'primary_isbn10': '0385350570', 'primary_isbn13': '9780385350570', 'rank': 11, 'list_name': 'Combined Print and E-Book Nonfiction', 'display_name': 'Combined Print & E-Book Nonfiction', 'published_date': '2015-10-18', 'bestsellers_date': '2015-10-03', 'weeks_on_list': 1, 'rank_last_week': 0, 'asterisk': 0, 'dagger': 0}]","[{'book_review_link': '', 'first_chapter_link': '', 'sunday_review_link': 'https://www.nytimes.com/2015/11/15/books/review/robert-reichs-saving-capitalism.html', 'article_chapter_link': ''}]"
SAVING CEECEE HONEYCUTT,"A beleaguered 12-year-old girl from Ohio enters a perfumed world of prosperity and eccentricity in Savannah, Ga.",by Beth Hoffman,Beth Hoffman,,0.00,,Pamela Dorman/Viking,"[{'isbn10': '0143118579', 'isbn13': '9780143118572'}, {'isbn10': '0670021393', 'isbn13': '9780670021390'}]",[],"[{'book_review_link': '', 'first_chapter_link': '', 'sunday_review_link': '', 'article_chapter_link': ''}]"
Saving Fish from Drowning: A Novel (Ballantine Reader's Circle),,,Amy Tan,,0.00,,,"[{'isbn10': '034546401X', 'isbn13': '9780345464019'}]",[],"[{'book_review_link': '', 'first_chapter_link': None, 'sunday_review_link': 'https://www.nytimes.com/2005/10/16/books/review/16solomon.html', 'article_chapter_link': None}]"
SAVING FREEDOM,,by Jim DeMint,Jim DeMint,,0.00,,Fidelis,[],[],"[{'book_review_link': '', 'first_chapter_link': '', 'sunday_review_link': '', 'article_chapter_link': ''}]"
SAVING FREEDOM,The MSNBC host and former congressman describes the struggles Harry Truman faced before and during his time as president.,by Joe Scarborough,Joe Scarborough,,0.00,,Harper,"[{'isbn10': '0062950495', 'isbn13': '9780062950499'}, {'isbn10': '0062950517', 'isbn13': '9780062950512'}]","[{'primary_isbn10': '0062950495', 'primary_isbn13': '9780062950499', 'rank': 10, 'list_name': 'Hardcover Nonfiction', 'display_name': 'Hardcover Nonfiction', 'published_date': '2020-12-20', 'bestsellers_date': '2020-12-05', 'weeks_on_list': 2, 'rank_last_week': 10, 'asterisk': 0, 'dagger': 0}, {'primary_isbn10': '0062950495', 'primary_isbn13': '9780062950499', 'rank': 11, 'list_name': 'Combined Print and E-Book Nonfiction', 'display_name': 'Combined Print & E-Book Nonfiction', 'published_date': '2020-12-20', 'bestsellers_date': '2020-12-05', 'weeks_on_list': 2, 'rank_last_week': 8, 'asterisk': 0, 'dagger': 0}, {'primary_isbn10': '0062950495', 'primary_isbn13': '9780062950499', 'rank': 8, 'list_name': 'Combined Print and E-Book Nonfiction', 'display_name': 'Combined Print & E-Book Nonfiction', 'published_date': '2020-12-13', 'bestsellers_date': '2020-11-28', 'weeks_on_list': 1, 'rank_last_week': 0, 'asterisk': 0, 'dagger': 0}, {'primary_isbn10': '0062950495', 'primary_isbn13': '9780062950499', 'rank': 10, 'list_name': 'Hardcover Nonfiction', 'display_name': 'Hardcover Nonfiction', 'published_date': '2020-12-13', 'bestsellers_date': '2020-11-28', 'weeks_on_list': 1, 'rank_last_week': 0, 'asterisk': 0, 'dagger': 0}]","[{'book_review_link': '', 'first_chapter_link': '', 'sunday_review_link': '', 'article_chapter_link': ''}]"
SAVING GRACES,,by Elizabeth Edwards,Elizabeth Edwards,,0.00,,Broadway,"[{'isbn10': '0767925386', 'isbn13': '9780767925389'}]",[],"[{'book_review_link': '', 'first_chapter_link': '', 'sunday_review_link': '', 'article_chapter_link': ''}]"
SAVING ITALY,An account of the Allies’ race to rescue Italy’s art treasures from the Nazis in World War II.,by Robert M. Edsel,Robert M Edsel,,0.00,,Norton,"[{'isbn10': '0393082415', 'isbn13': '9780393082418'}, {'isbn10': '0393240452', 'isbn13': '9780393240450'}, {'isbn10': '0393348806', 'isbn13': '9780393348804'}]","[{'primary_isbn10': '0393240452', 'primary_isbn13': '9780393240450', 'rank': 10, 'list_name': 'E-Book Nonfiction', 'display_name': 'E-Book Nonfiction', 'published_date': '2014-04-13', 'bestsellers_date': '2014-03-29', 'weeks_on_list': 1, 'rank_last_week': 0, 'asterisk': 0, 'dagger': 0}, {'primary_isbn10': '0393240452', 'primary_isbn13': '9780393240450', 'rank': 18, 'list_name': 'Combined Print and E-Book Nonfiction', 'display_name': 'Combined Print & E-Book Nonfiction', 'published_date': '2014-04-13', 'bestsellers_date': '2014-03-29', 'weeks_on_list': 0, 'rank_last_week': 0, 'asterisk': 0, 'dagger': 0}, {'primary_isbn10': '0393082415', 'primary_isbn13': '9780393082418', 'rank': 14, 'list_name': 'Hardcover Nonfiction', 'display_name': 'Hardcover Nonfiction', 'published_date': '2013-05-26', 'bestsellers_date': '2013-05-11', 'weeks_on_list': 1, 'rank_last_week': 0, 'asterisk': 1, 'dagger': 0}]","[{'book_review_link': '', 'first_chapter_link': '', 'sunday_review_link': '', 'article_chapter_link': ''}]"
SAVING JUSTICE,The former F.B.I. director incorporates his experiences into lessons on how the federal justice system functions.,by James Comey,James Comey,,0.00,,Flatiron,"[{'isbn10': '1250799120', 'isbn13': '9781250799128'}, {'isbn10': '1250799139', 'isbn13': '9781250799135'}]","[{'primary_isbn10': '1250799120', 'primary_isbn13': '9781250799128', 'rank': 14, 'list_name': 'Combined Print and E-Book Nonfiction', 'display_name': 'Combined Print & E-Book Nonfiction', 'published_date': '2021-01-31', 'bestsellers_date': '2021-01-16', 'weeks_on_list': 1, 'rank_last_week': 0, 'asterisk': 0, 'dagger': 0}, {'primary_isbn10': '1250799120', 'primary_isbn13': '9781250799128', 'rank': 14, 'list_name': 'Hardcover Nonfiction', 'display_name': 'Hardcover Nonfiction', 'published_date': '2021-01-31', 'bestsellers_date': '2021-01-16', 'weeks_on_list': 1, 'rank_last_week': 0, 'asterisk': 0, 'dagger': 0}]","[{'book_review_link': '', 'first_chapter_link': '', 'sunday_review_link': '', 'article_chapter_link': ''}]"
"Saving Milly: Love, Politics, and Parkinson's Disease (Ballantine Reader's Circle)",,,Morton Kondracke,,0.00,,,"[{'isbn10': '034545197X', 'isbn13': '9780345451972'}]",[],"[{'book_review_link': '', 'first_chapter_link': None, 'sunday_review_link': 'https://www.nytimes.com/2001/06/10/books/books-in-brief-nonfiction-580236.html', 'article_chapter_link': None}]"
SAVING QUINTON,"A young woman who has come to grips with her own problems is determined to save her friend from a dark, dangerous life.",by Jessica Sorensen,Jessica Sorensen,,0.00,,Forever,"[{'isbn10': '1455582751', 'isbn13': '9781455582754'}]","[{'primary_isbn10': '1455582751', 'primary_isbn13': '9781455582754', 'rank': 21, 'list_name': 'E-Book Fiction', 'display_name': 'E-Book Fiction', 'published_date': '2014-02-23', 'bestsellers_date': '2014-02-08', 'weeks_on_list': 1, 'rank_last_week': 0, 'asterisk': 0, 'dagger': 0}, {'primary_isbn10': '1455582751', 'primary_isbn13': '9781455582754', 'rank': 24, 'list_name': 'Combined Print and E-Book Fiction', 'display_name': 'Combined Print & E-Book Fiction', 'published_date': '2014-02-23', 'bestsellers_date': '2014-02-08', 'weeks_on_list': 0, 'rank_last_week': 0, 'asterisk': 0, 'dagger': 0}]","[{'book_review_link': '', 'first_chapter_link': '', 'sunday_review_link': '', 'article_chapter_link': ''}]"
SAVING RACHEL,"A man is forced to choose between his wife and his mistress, and the rejected woman then must die.",by John Locke,John Locke,,0.00,,Telemachus,[],[],"[{'book_review_link': '', 'first_chapter_link': '', 'sunday_review_link': '', 'article_chapter_link': ''}]"
Saving Remnants: Feeling Jewish in America,,,Allen Graubard,,0.00,,,"[{'isbn10': '0029030854', 'isbn13': '9780029030851'}]",[],"[{'book_review_link': '', 'first_chapter_link': None, 'sunday_review_link': 'https://www.nytimes.com/1992/07/12/books/sometimes-it-s-like-being-a-dodger-fan.html', 'article_chapter_link': None}]"
SAVING SIMON,,by Jon Katz,Jon Katz,,0.00,,Thorndike,"[{'isbn10': '0345531191', 'isbn13': '9780345531193'}, {'isbn10': '0804177287', 'isbn13': '9780804177283'}, {'isbn10': '1410473058', 'isbn13': '9781410473059'}]","[{'primary_isbn10': '0345531191', 'primary_isbn13': '9780345531193', 'rank': 14, 'list_name': 'Animals', 'display_name': 'Animals', 'published_date': '2014-12-14', 'bestsellers_date': '2014-11-29', 'weeks_on_list': 0, 'rank_last_week': 0, 'asterisk': 0, 'dagger': 0}, {'primary_isbn10': '0345531191', 'primary_isbn13': '9780345531193', 'rank': 13, 'list_name': 'Animals', 'display_name': 'Animals', 'published_date': '2014-11-09', 'bestsellers_date': '2014-10-25', 'weeks_on_list': 0, 'rank_last_week': 0, 'asterisk': 0, 'dagger': 0}]","[{'book_review_link': '', 'first_chapter_link': '', 'sunday_review_link': '', 'article_chapter_link': ''}]"
Saving the Sun: A Wall Street Gamble to Rescue Japan from Its Trillion-Dollar Meltdown,,,Gillian Tett,,0.00,,,"[{'isbn10': '006055424X', 'isbn13': '9780060554248'}]",[],"[{'book_review_link': '', 'first_chapter_link': None, 'sunday_review_link': 'https://www.nytimes.com/2003/10/19/books/bad-loans-are-bad.html', 'article_chapter_link': None}]"
SAVING THE TEAM,Devin moves to a new school and tries to help the underdog soccer team. ,by Alex Morgan,Alex Morgan,,0.00,Ages 8 to 12,Simon & Schuster,"[{'isbn10': '1442485701', 'isbn13': '9781442485709'}]","[{'primary_isbn10': '1442485701', 'primary_isbn13': '9781442485709', 'rank': 7, 'list_name': 'Childrens Middle Grade', 'display_name': 'Children’s Middle Grade', 'published_date': '2013-05-26', 'bestsellers_date': '2013-05-11', 'weeks_on_list': 1, 'rank_last_week': 0, 'asterisk': 0, 'dagger': 0}]","[{'book_review_link': '', 'first_chapter_link': '', 'sunday_review_link': '', 'article_chapter_link': ''}]"
Saving the World (Shannon Ravenel Books),,,Julia Alvarez,,0.00,,,"[{'isbn10': '1598205021', 'isbn13': '9781598205022'}]",[],"[{'book_review_link': '', 'first_chapter_link': None, 'sunday_review_link': 'https://www.nytimes.com/2006/04/23/books/review/23frey.html', 'article_chapter_link': None}]"
Savion!: My Life in Tap,,,Savion Glover,,0.00,,,"[{'isbn10': '0688156290', 'isbn13': '9780688156299'}]",[],"[{'book_review_link': '', 'first_chapter_link': None, 'sunday_review_link': 'https://www.nytimes.com/2000/05/14/books/children-s-books-tickety-bloo-kah-shuck.html', 'article_chapter_link': None}]"
SAVOR THE DANGER,"She may be aloof, but Alani Rivers is the kind of woman the hot-blooded mercenary Jackson Savor can’t forget.",by Lori Foster,Lori Foster,,0.00,,HQN,"[{'isbn10': '0373775822', 'isbn13': '9780373775828'}]",[],"[{'book_review_link': '', 'first_chapter_link': '', 'sunday_review_link': '', 'article_chapter_link': ''}]"
