SearchTerm,Link1,AdaptationOf,Link2,published_x,author_x,series_x,rating_x,charnum_x,awardnum_x
A Bag of Marbles,/work/557783,,,(1973),by Joseph Joffo,1.0,(3.57),1.0,3.0
Legend Of The Demon Cat [Blu-ray],/work/25048227,,,,,,,,
Miss Peregrine's Home for Peculiar Children [2016 film],/work/18587523,Miss Peregrine's Home For Peculiar Children,/work/10951114,,by Ransom Riggs,1.0,(3.7),24.0,9.0
The Girl on the Train [2016 film],/work/18400760,The Girl on the Train,/work/15083269,(2015),by Paula Hawkins,0.0,(3.63),14.0,19.0
Me Before You [2016 film],/work/18335169,Me Before You,/work/11686136,(2013),by Jojo Moyes,1.0,(4.12),16.0,4.0
Fantastic Beasts and Where to Find Them [2016 film],/work/19340638,Fantastic Beasts and Where to Find Them,/work/642676,(2001),"by J. K. Rowling, Newt Scamander",1.0,(3.68),2.0,1.0
Live By Night [2016 film],/work/19310480,Live by Night,/work/12326900,,by Dennis Lehane,1.0,(3.79),12.0,6.0
Inferno [2016 film],/work/17865308,Inferno,/work/13407344,(2013),by Dan Brown,1.0,(3.55),4.0,3.0
Silence,/work/1031302,,,(1966),by Shūsaku Endō,0.0,(4.02),4.0,9.0
Pride And Prejudice And Zombies [2016 film],/work/17902220,Pride and Prejudice and Zombies,/work/7653406,(2009),by Seth Grahame-Smith,1.0,(3.22),10.0,5.0
The Jungle Book [2016 film],/work/18187610,The Jungle Books,/work/2774556,(1894),by Rudyard Kipling,1.0,(3.92),18.0,2.0
Nerve [2016 film],/work/17865313,Nerve,/work/42881,(1964),by Dick Francis,0.0,(3.89),5.0,1.0
Jack Reacher: Never Go Back [2016 film],/work/18698908,Never Go Back,/work/13480915,,by Lee Child,1.0,(3.78),11.0,3.0
Alice Through the Looking Glass [2016 film],/work/18514410,Alice's Adventures in Wonderland / Through the Looking-Glass,/work/777000,(1865),by Lewis Carroll,1.0,(4.12),32.0,5.0
The 5th Wave [2016 film],/work/17748008,The 5th Wave,/work/13135918,(2013),by Rick Yancey,1.0,(3.89),25.0,22.0
Allegiant [2016 film],/work/18133746,Allegiant,/work/11584289,,by Veronica Roth,1.0,(3.42),2.0,3.0
The Light Between Oceans [2016 film],/work/18922217,The Light Between Oceans,/work/12179054,(2012),by M. L. Stedman,0.0,(3.91),12.0,11.0
A Hologram For The King [2016 film],/work/18228488,A Hologram for the King,/work/12670700,,by Dave Eggers,0.0,(3.37),1.0,8.0
Ben-Hur [2016 film],/work/18796533,Ben-Hur: A Tale of the Christ,/work/3152,(1880),by Lew Wallace,0.0,(3.78),10.0,5.0
Billy Lynn's Long Halftime Walk [2016 film],/work/19041172,Billy Lynn's Long Halftime Walk,/work/12072317,(2012),by Ben Fountain,0.0,(3.9),1.0,15.0
The Young Messiah,/work/18534727,,,,by Cyrus Nowrasteh,0.0,(4),1.0,1.0
Fitoor,/work/26401247,,,,by Aditya Roy Kapoor,0.0,,1.0,1.0
Kontributsiya,,,,,,,,,
Fifty Shades of Grey [2015 film],/work/16668532,Fifty Shades of Grey,/work/11347028,,by E. L. James,1.0,(2.94),14.0,4.0
Goosebumps [2015 film],/work/17151492,Attack of the Mutant,/work/544652,,by R. L. Stine,1.0,(3.44),1.0,1.0
The Revenant [2015 Film],/work/17001047,The Revenant,/work/825275,(2002),by Michael Punke,0.0,(3.77),20.0,1.0
The Martian [2015 film],/work/16585696,The Martian,/work/13265773,,by Andy Weir,1.0,(4.28),20.0,15.0
War Room [2015 film],/work/16983424,Room,/work/9837747,(2010),by Emma Donoghue,0.0,(4.03),11.0,33.0
The Hunger Games: Mockingjay: Part 2 [2015 film],/work/16809065,Mockingjay,/work/9279041,,by Suzanne Collins,1.0,(3.91),38.0,8.0
Victor Frankenstein [2015 film],/work/17501366,This Dark Endeavor: The Apprenticeship of Victor Frankenstein,/work/10930691,,by Kenneth Oppel,1.0,(3.83),6.0,12.0
The Danish Girl [2015 film],/work/17000961,The Danish Girl,/work/73690,(2000),by David Ebershoff,0.0,(3.69),3.0,6.0
Carol [2015 film],/work/16974198,The Price of Salt,/work/112217,(1952),by Patricia Highsmith,0.0,(3.83),9.0,2.0
Maze Runner: The Scorch Trials [2015 film],/work/16911047,The Scorch Trials,/work/9448063,,by James Dashner,1.0,(3.71),8.0,4.0
Brooklyn [2015 film],/work/16718871,Brooklyn,/work/7636753,,by Colm Tóibín,0.0,(3.7),29.0,10.0
Insurgent [2015 film],/work/17070915,Insurgent,/work/11657372,(2013),by Veronica Roth,1.0,(3.82),12.0,3.0
Home [2015 film],/work/16502494,Home,/work/5056952,(2008),by Marilynne Robinson,1.0,(3.99),9.0,13.0
Child 44 [2015 film],/work/17138333,Child 44,/work/4104266,(2008),by Tom Rob Smith,1.0,(3.96),16.0,21.0
Beasts of No Nation [2015 film],/work/19064944,Beasts of No Nation,/work/23959,(2005),by Uzodinma Iweala,0.0,(3.62),22.0,10.0
Pan [2015 film],/work/16944859,Peter Pan,/work/6252,(1911),by J. M. Barrie,1.0,(3.96),33.0,9.0
Wild Card [2015 film],/work/18339878,Wild Card,/work/9016933,,by Tiki Barber,0.0,(4.25),1.0,1.0
Me and Earl and the Dying Girl [2015 film],/work/17603294,Me and Earl and the Dying Girl,/work/12028167,,by Jesse Andrews,0.0,(3.55),18.0,11.0
Paper Towns [2015 film],/work/16896068,Paper Towns,/work/5105584,,by John Green,0.0,(3.89),21.0,22.0
Dark Places [2015 film],/work/18593839,Dark Places,/work/6752089,,by Gillian Flynn,0.0,(3.83),12.0,3.0
The Diary of a Teenage Girl [2015 film],/work/17366444,The Diary of a Teenage Girl: An Account in Words and Pictures,/work/141132,,by Phoebe Gloeckner,0.0,(4.01),1.0,1.0
Z for Zachariah [2015 film],/work/17271231,Z for Zachariah,/work/112326,(1975),by Robert C. O'Brien,0.0,(3.73),4.0,6.0
The Gunman [2015 film],/work/17179628,The Prone Gunman,/work/501101,(1982),by Jean-Patrick Manchette,0.0,(3.72),1.0,1.0
Mr. Holmes [2015 film],/work/16535221,A Slight Trick of the Mind,/work/211038,(2014),by Mitch Cullin,0.0,(3.52),1.0,1.0
90 Minutes in Heaven [2015 film],/work/17867472,90 Minutes in Heaven: A True Story of Death and Life {memoir},/work/297872,(1996),"by Don Piper, Cecil Murphey",0.0,(3.5),6.0,1.0
Blackway [2015 film],/work/17999479,Go with Me,/work/4196042,(2008),by Castle Freeman,0.0,(3.63),20.0,2.0
The Great Gilly Hopkins [2015 film],/work/19293250,The Great Gilly Hopkins,/work/6314,(1978),by Katherine Paterson,0.0,(3.86),9.0,22.0
Wolf Totem [2015 film],/work/23260420,Wolf Totem,/work/4303884,(2004),by Jiang Rong,0.0,(3.78),1.0,3.0
Gone Girl [2014 film],/work/16049250,Gone Girl,/work/11234211,,by Gillian Flynn,0.0,(3.86),21.0,23.0
The Maze Runner [2014 film],/work/16501633,The Maze Runner,/work/8206950,(2009),by James Dashner,1.0,(3.78),8.0,26.0
Edge of Tomorrow [2014 film],/work/15581924,Edge of Tomorrow,/work/8419505,(2004),by Hiroshi Sakurazaka,0.0,(3.81),2.0,1.0
Divergent [2014 film],/work/16491446,Divergent,/work/10261765,(2011),by Veronica Roth,1.0,(4.01),30.0,40.0
The Hobbit: The Battle of Five Armies,/work/15657101,The Hobbit,/work/3206242,(1937),by J. R. R. Tolkien,1.0,(4.27),39.0,30.0
The Hunger Games: Mockingjay: Part 1 [2014 film],/work/15841154,Mockingjay,/work/9279041,,by Suzanne Collins,1.0,(3.91),38.0,8.0
Sin City: A Dame to Kill For [2014 film],/work/16674519,Sin City: A Dame to Kill For,/work/5659,,by Frank Miller,1.0,(3.89),2.0,3.0
Unbroken [2014 film],/work/16065784,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",/work/10151285,(2010),by Laura Hillenbrand,0.0,(4.44),14.0,17.0
Vampire Academy [2014 film],/work/16674756,Vampire Academy,/work/2936695,,by Richelle Mead,1.0,(4.01),7.0,5.0
The Fault in Our Stars [2014 film],/work/15593048,The Fault in Our Stars,/work/11456497,(2012),by John Green,0.0,(4.25),9.0,63.0
Inherent Vice,/work/6663533,,,,by Thomas Pynchon,0.0,(3.6),5.0,5.0
A Walk Among the Tombstones [2014 film],/work/16837564,A Walk Among the Tombstones,/work/24565,(1992),by Lawrence Block,1.0,(3.94),5.0,1.0
The Giver [2014 film],/work/15697816,The Giver,/work/9726954,(1993),by Lois Lowry,1.0,(4.17),6.0,44.0
The November Man [2014 film],/work/15571642,There Are No Spies,/work/474525,,by Bill Granger,1.0,(3.5),9.0,1.0
Endless Love [2014 movie],/work/19801939,Endless Love,/work/71746,(1979),by Scott Spencer,0.0,(3.46),6.0,4.0
Seventh Son [2014 film],/work/16510536,Revenge of the Witch,/work/8193712,(2004),by Joseph Delaney,1.0,(3.85),12.0,5.0
This is Where I Leave You [2014 film],/work/16474256,This Is Where I Leave You,/work/8372575,(2009),by Jonathan Tropper,0.0,(3.84),19.0,3.0
The Best of Me [2014 film],/work/19563721,The Best of Me,/work/11107851,(2011),by Nicholas Sparks,0.0,(3.68),2.0,1.0
Still Alice [2014 film],/work/16570435,Still Alice,/work/4301018,(2007),by Lisa Genova,0.0,(4.24),8.0,3.0
Left Behind [2014 film],/work/16660187,Left Behind: A Novel of the Earth's Last Days,/work/909,,"by Tim LaHaye, Angela Elwell Hunt, Jerry B. Jenkins",1.0,(3.35),10.0,4.0
If I Stay,/work/7250107,,,,by Gayle Forman,1.0,(3.88),10.0,24.0
Addicted,/work/8202034,,,,by Zane,0.0,(3.8),7.0,1.0
Before I Go to Sleep [2014 film],/work/18011068,Before I Go to Sleep,/work/10650990,(2011),by S. J. Watson,0.0,(3.73),6.0,15.0
The Hundred-Foot Journey [2014 film],/work/16713660,The Hundred-Foot Journey,/work/9751827,(2008),by Richard C. Morais,0.0,(3.46),2.0,1.0
The Homesman [2014 film],/work/16429412,The Homesman: A Novel,/work/1648144,,by Glendon Swarthout,0.0,(3.87),1.0,2.0
Winter's Tale [2014 film],/work/18459305,Winter's Tale,/work/7118,(1983),by Mark Helprin,0.0,(4),16.0,5.0
A Most Wanted Man [2014 film],/work/15466630,A Most Wanted Man,/work/5532612,(2008),by John Le Carré,0.0,(3.47),11.0,3.0
Serena [2014 film],/work/17635818,Serena,/work/5387906,(2008),by Ron Rash,0.0,(3.69),4.0,6.0
Desde Que O Samba e Samba (Em Portugues do Brasil),/work/12501886,,,,by Paulo Lins,0.0,(4),1.0,1.0
A Long Way Down [2014 film],/work/17283681,A Long Way Down,/work/7372,(2005),by Nick Hornby,0.0,(3.46),8.0,2.0
The Two Faces of January [2014 film],/work/17049587,The Two Faces of January,/work/255302,(1961),by Patricia Highsmith,0.0,(3.52),3.0,1.0
Atlas Shrugged: Who Is John Galt? [2014 film],/work/26060241,Atlas Shrugged Part III,/work/16953804,,by Jim Manera,1.0,(1),1.0,1.0
The Humbling [2014 film],/work/18722806,The Humbling,/work/8387740,(2009),by Philip Roth,0.0,(3.21),3.0,1.0
Memories [1995 film],/work/16612928,Memories [manga],/work/614063,(1990),"by Katsuhiro Ōtomo, Katsuhiro Otomo",0.0,(4.05),1.0,1.0
The Great Gatsby [2013 film],/work/14005426,The Great Gatsby,/work/2964,(1925),"by F. Scott Fitzgerald, Jane Pauley (Narrator), Maria Tsaneva (Illustrator)",0.0,(3.86),18.0,43.0
Carrie [2013 Film],/work/15310679,Carrie,/work/12444,(1974),by Stephen King,0.0,(3.73),8.0,10.0
Snowpiercer [2013 film],/work/15368830,"Snowpiercer, Volume 1: The Escape",/work/14675532,(1983),"by Jacques Lob, Jean-Marc Rochette (Illustrator)",1.0,(3.23),1.0,1.0
Under the skin [2013 film],/work/25383046,Under the Skin,/work/14044,(2000),by Michel Faber,0.0,(3.73),6.0,5.0
The Hunger Games: Catching Fire [2013 film],/work/14514700,Catching Fire,/work/8662515,,by Suzanne Collins,1.0,(4.18),42.0,17.0
World War Z [2013 film],/work/14625355,World War Z,/work/6426432,(2006),by Max Brooks,0.0,(3.99),24.0,12.0
The Hobbit: The Desolation of Smaug [2013 film],/work/14612536,The Hobbit,/work/3206242,(1937),by J. R. R. Tolkien,1.0,(4.27),39.0,30.0
12 Years a Slave [2013 film],/work/14424088,Twelve Years a Slave,/work/331861,(1853),by Solomon Northup,0.0,(4.2),1.0,1.0
Beautiful Creatures [2013 film],/work/14407363,Beautiful Creatures,/work/8174366,,"by Kami Garcia, Margaret Stohl",1.0,(3.64),32.0,13.0
Warm Bodies [2013 film],/work/14011559,Warm Bodies,/work/10473301,,by Isaac Marion,1.0,(3.86),5.0,1.0
Ender's Game [2013 film],/work/14932974,Ender's Game,/work/825739,(1977),by Orson Scott Card,1.0,(4.31),25.0,23.0
The Mortal Instruments: City of Bones [2013 film],/work/14541354,City of Bones,/work/8024489,,by Cassandra Clare,1.0,(3.86),11.0,11.0
Odd Thomas [2013 film],/work/16890922,Odd Thomas,/work/4451,(2003),by Dean Koontz,1.0,(3.99),11.0,1.0
Filth [2013 film],/work/14771654,Filth,/work/5773,,by Irvine Welsh,0.0,(3.54),6.0,1.0
Percy Jackson: Sea of Monsters [2013 film],/work/14882535,The Sea of Monsters,/work/1491561,(2006),by Rick Riordan,1.0,(4.09),63.0,7.0
The Host [2013 film],/work/16735396,The Host: A Novel,/work/8300098,,by Stephenie Meyer,1.0,(3.91),10.0,7.0
The Family [2013 film],/work/17242893,The Family,/work/83379,(2001),by Mario Puzo,0.0,(3.34),5.0,1.0
The Book Thief [2013 film],/work/14868750,The Book Thief,/work/393681,(2005),by Markus Zusak,0.0,(4.36),12.0,41.0
Safe Haven [2013 film],/work/14078313,Safe Haven,/work/9798423,(2010),by Nicholas Sparks,0.0,(3.92),6.0,1.0
The Spectacular Now,/work/5042460,,,,by Tim Tharp,0.0,(3.52),4.0,4.0
Paranoia [2013 film],/work/19648017,Paranoia,/work/25779,(2004),by Joseph Finder,0.0,(3.67),3.0,3.0
Hard to be a god,/work/3533838,,,(1964),"by Arkady Strugatsky, Boris Strugatsky",1.0,(3.76),28.0,5.0
Admission [2013 film],/work/17673076,Admission,/work/7789012,,by Jean Hanff Korelitz,0.0,(3.61),5.0,1.0
How I Live Now [2013 film],/work/16626105,How I Live Now,/work/23158,(2004),by Meg Rosoff,0.0,(3.77),7.0,16.0
The Physician [2013 Film],/work/15214200,The Physician,/work/189051,(1986),by Noah Gordon,1.0,(4.17),1.0,3.0
Life of Crime [2013 film],/work/17716864,The Switch,/work/128319,(1978),by Elmore Leonard,0.0,(3.75),2.0,1.0
Blood Ties [2013 film],/work/24114418,Blood Ties,/work/187777,(1986),"by Robert Asprin (Editor), Lynn Abbey (Editor), Lynn Abbey (Editor), Lynn Abbey (Editor), Lynn Abbey (Editor)",1.0,(3.69),1.0,1.0
Adventurer: The Curse of the Midas Box [2013 film],/work/16822011,The Adventurer: The Curse of the Midas Box,/work/25056928,,by Michael Sheen,0.0,,1.0,1.0
Syrup,/work/189651,,,(1999),by Maxx Barry,0.0,(3.79),4.0,1.0
Mr. Morgan's Last Love [2013 film],/work/17431134,The Last Love,/work/293373,(1963),by Thomas B. Costain,0.0,(4.2),1.0,1.0
As I Lay Dying,/work/3360,,,(1930),by William Faulkner,0.0,(3.89),17.0,16.0
Jack and the Cuckoo-Clock Heart,/work/21738297,,,,by Mathias Malzieu,0.0,(3.5),1.0,1.0
Legends of Oz - Dorothy's Return [Blu-Ray DVD Digital HD],/work/22567191,,,,,,,,
The German Doctor [2013 film],/work/20310557,The German Doctor,/work/15043181,,by Lucía Puenzo,0.0,(3.71),1.0,1.0
Alone Yet Not Alone: Their faith became their freedom,/work/2168511,,,,by Tracy Leininger Craven,0.0,(4),1.0,1.0
Black Nativity [2013 film],/work/14589571,Black Nativity,/work/5418693,,by Langston Hughes,0.0,(4),1.0,1.0
Victoria [2013 film],/work/13585246,Victoria,/work/81137,(1898),by Knut Hamsun,0.0,(3.81),2.0,1.0
The Hunger Games [2012 film],/work/12926399,The Hunger Games,/work/4979986,,by Suzanne Collins,1.0,(4.32),30.0,73.0
Cloud Atlas [2012 film],/work/13462108,Cloud Atlas,/work/3654,(2004),by David Mitchell,0.0,(4.1),12.0,25.0
The Hobbit: An Unexpected Journey,/work/13636004,The Hobbit,/work/3206242,(1937),by J. R. R. Tolkien,1.0,(4.27),39.0,30.0
Les Misérables [2012 film],/work/13809637,Les Misérables,/work/19485,(1862),"by Victor Hugo, Victor Hugo, Victor Hugo",0.0,(4.27),27.0,25.0
The Perks of Being a Wallflower [2012 film],/work/13809050,The Perks of Being a Wallflower,/work/10482,,by Stephen Chbosky,0.0,(4.01),10.0,8.0
Jack Reacher [2012 film],/work/13787729,One Shot,/work/156525,(2005),by Lee Child,1.0,(3.96),21.0,3.0
Abraham Lincoln: Vampire Hunter [2012 film],/work/13819948,Abraham Lincoln: Vampire Hunter,/work/8931199,(2010),by Seth Grahame-Smith,1.0,(3.56),29.0,1.0
John Carter [2012 film],/work/12783754,A Princess of Mars,/work/82902,(1912),by Edgar Rice Burroughs,1.0,(3.58),15.0,4.0
Journey 2: The Mysterious Island [2012 film],/work/12621654,The Mysterious Island,/work/183845,(1874),by Jules Verne,1.0,(3.92),10.0,6.0
The Woman in Black [2012 film],/work/12997663,The Woman in Black,/work/63662,(1983),by Susan Hill,0.0,(3.7),14.0,7.0
Life of Pi [2012 film],/work/13360628,Life of Pi,/work/5197633,(2001),by Yann Martel,0.0,(3.91),7.0,29.0
Lawless [2012 film],/work/15469312,The Wettest County in the World,/work/5679254,,by Matt Bondurant,0.0,(3.47),4.0,1.0
Anna Karenina [2012 film],/work/14327781,Anna Karenina,/work/2340,(1877),"by Leo Tolstoy, George Gibian (Editor)",0.0,(4.15),39.0,32.0
Savages [2012 film],/work/16370115,Savages,/work/179668,,by Shirley Conran,0.0,(3.59),1.0,1.0
Diary of a Wimpy Kid: Dog Days [2012 film],/work/17253228,Diary of a Wimpy Kid: Dog Days,/work/8789607,,by Jeff Kinney,1.0,(4.06),6.0,3.0
The Lucky One [2012 film],/work/16767390,The Lucky One,/work/5304078,(2008),by Nicholas Sparks,0.0,(3.86),8.0,1.0
On the Road [2012 film],/work/13040260,On the Road,/work/3207,(1957),by Jack Kerouac,0.0,(3.64),9.0,33.0
Cosmopolis [2012 film],/work/13997123,Cosmopolis,/work/971270,(2003),by Don DeLillo,0.0,(3.09),3.0,1.0
The Paperboy [2012 film],/work/11525845,The Paperboy,/work/41406,,by Pete Dexter,0.0,(3.76),6.0,3.0
One for the Money [2012 film],/work/14388331,One for the Money,/work/9759186,(1994),by Janet Evanovich,1.0,(3.88),4.0,6.0
Alex Cross [2012 film],/work/13526065,Cross,/work/993429,(2006),by James Patterson,1.0,(3.64),5.0,1.0
The Company You Keep [2012 film],/work/14914134,The Company You Keep,/work/348044,(2005),by Angela Henry,1.0,(3.25),1.0,1.0
What Maisie Knew [2012 film],/work/14342569,What Maisie Knew,/work/19973,(1897),by Henry James,0.0,(3.38),2.0,2.0
Atlas Shrugged II: The Strike [2012 movie],/work/13599913,,,,,,,,
Come Out and Play (It's a Kid's World),/work/5529001,,,(2001),by Maya Ajmera,0.0,,1.0,1.0
La Vida Precoz y Breve de Sabina Rivas,/work/15079585,,,,by Mandoki,0.0,,1.0,1.0
A.C.A.B.: All Cops Are Bastards {Movie},/work/13186031,,,,by Stefano Sollima,0.0,(3),1.0,1.0
Thérèse Desqueyroux [2012 film],/work/22161989,Thérèse Raquin,/work/1536,(1867),by Émile Zola,0.0,(3.77),8.0,6.0
Les Liaisons Dangereuses,/work/32388,,,(1782),by Pierre Choderlos de Laclos,0.0,(4.11),5.0,9.0
Blue Like Jazz,/work/4121,,,(2003),by Donald Miller,0.0,(3.91),1.0,1.0
Another Women's Life [2012 film],/work/13629324,,,,,,,,
The Spy: A Tale of the Neutral Ground,/work/359702,,,(1836),by James Fenimore Cooper,0.0,(3.33),1.0,1.0
